build,publicDemo,family,schema,samples,initialized,medianReadyToInputMs,p95ReadyToInputMs,medianInputToCandidateMs,medianCommitMs,medianWasmReadyBytes,medianWasmPeakBytes,maxWasmPeakBytes,medianSteadyStateBytes,medianLoadedSharedAssetBytes,medianRequestedFamilyBytes,medianUniqueEncodedResourceBytes,medianJSHeapUsedBytes,medianStorageUsageBytes,loadedAssetCount,loadedAssets,consoleErrors
tracked-dist,false,luna-core,luna_pinyin,1,1,1259,1259,69,13,167772160,167772160,167772160,167772160,33132746,33132746,36593791,4684016,15881,23,"[""default.custom.yaml"",""pinyin.yaml"",""key_bindings.yaml"",""punctuation.yaml"",""symbols.yaml"",""essay.txt"",""luna_pinyin.schema.yaml"",""luna_pinyin.dict.yaml"",""luna_pinyin.table.bin"",""luna_pinyin.reverse.bin"",""luna_pinyin.prism.bin"",""stroke.schema.yaml"",""stroke.dict.yaml"",""stroke.table.bin"",""stroke.reverse.bin"",""stroke.prism.bin"",""opencc/t2hk.json"",""opencc/t2s.json"",""opencc/t2tw.json"",""opencc/HKVariants.ocd2"",""opencc/TSCharacters.ocd2"",""opencc/TSPhrases.ocd2"",""opencc/TWVariants.ocd2""]",[]
public-demo-dist,true,luna-core,luna_pinyin,1,1,1228,1228,55,123,167772160,167772160,167772160,167772160,33132746,33132746,36604685,4728832,33180431,23,"[""default.custom.yaml"",""pinyin.yaml"",""key_bindings.yaml"",""punctuation.yaml"",""symbols.yaml"",""essay.txt"",""luna_pinyin.schema.yaml"",""luna_pinyin.dict.yaml"",""luna_pinyin.table.bin"",""luna_pinyin.reverse.bin"",""luna_pinyin.prism.bin"",""stroke.schema.yaml"",""stroke.dict.yaml"",""stroke.table.bin"",""stroke.reverse.bin"",""stroke.prism.bin"",""opencc/t2hk.json"",""opencc/t2s.json"",""opencc/t2tw.json"",""opencc/HKVariants.ocd2"",""opencc/TSCharacters.ocd2"",""opencc/TSPhrases.ocd2"",""opencc/TWVariants.ocd2""]",[]
tracked-dist,false,jyutping-core,jyut6ping3_mobile,1,1,5261,5261,100,108,936509440,936509440,936509440,936509440,4630356,4630356,11575930,5062860,23926,10,"[""default.custom.yaml"",""common.yaml"",""common.custom.yaml"",""include.yaml"",""template.yaml"",""jyut6ping3.schema.yaml"",""jyut6ping3_mobile.schema.yaml"",""jyut6ping3.table.bin"",""jyut6ping3.reverse.bin"",""jyut6ping3_mobile.prism.bin""]",[]
public-demo-dist,true,jyutping-core,jyut6ping3_mobile,1,1,5218,5218,80,109,936509440,936509440,936509440,936509440,4630356,4630356,11586836,5079460,8160638,10,"[""default.custom.yaml"",""common.yaml"",""common.custom.yaml"",""include.yaml"",""template.yaml"",""jyut6ping3.schema.yaml"",""jyut6ping3_mobile.schema.yaml"",""jyut6ping3.table.bin"",""jyut6ping3.reverse.bin"",""jyut6ping3_mobile.prism.bin""]",[]
tracked-dist,false,jyutping-scolar,jyut6ping3_mobile,1,1,5445,5445,105,120,936509440,936509440,936509440,936509440,23785977,23785977,30731551,5270536,23930,15,"[""default.custom.yaml"",""common.yaml"",""common.custom.yaml"",""include.yaml"",""template.yaml"",""jyut6ping3.schema.yaml"",""jyut6ping3_mobile.schema.yaml"",""jyut6ping3.table.bin"",""jyut6ping3.reverse.bin"",""jyut6ping3_mobile.prism.bin"",""jyut6ping3_scolar.schema.yaml"",""jyut6ping3_scolar.dict.yaml"",""jyut6ping3_scolar.table.bin"",""jyut6ping3_scolar.reverse.bin"",""jyut6ping3_scolar.prism.bin""]",[]
public-demo-dist,true,jyutping-scolar,jyut6ping3_mobile,1,1,5475,5475,97,107,936509440,936509440,936509440,936509440,23785977,23785977,30742457,5274032,27322242,15,"[""default.custom.yaml"",""common.yaml"",""common.custom.yaml"",""include.yaml"",""template.yaml"",""jyut6ping3.schema.yaml"",""jyut6ping3_mobile.schema.yaml"",""jyut6ping3.table.bin"",""jyut6ping3.reverse.bin"",""jyut6ping3_mobile.prism.bin"",""jyut6ping3_scolar.schema.yaml"",""jyut6ping3_scolar.dict.yaml"",""jyut6ping3_scolar.table.bin"",""jyut6ping3_scolar.reverse.bin"",""jyut6ping3_scolar.prism.bin""]",[]
tracked-dist,false,reverse-lookup,jyut6ping3_mobile,1,1,5427,5427,84,122,936509440,936509440,936509440,936509440,7203884,7203884,14149458,5056628,23928,17,"[""default.custom.yaml"",""common.yaml"",""common.custom.yaml"",""include.yaml"",""template.yaml"",""jyut6ping3.schema.yaml"",""jyut6ping3_mobile.schema.yaml"",""jyut6ping3.table.bin"",""jyut6ping3.reverse.bin"",""jyut6ping3_mobile.prism.bin"",""loengfan.schema.yaml"",""loengfan.dict.yaml"",""cangjie3.schema.yaml"",""cangjie3.dict.yaml"",""cangjie5.schema.yaml"",""cangjie5.dict.yaml"",""luna_pinyin_yune_reverse.dict.yaml""]",[]
public-demo-dist,true,reverse-lookup,jyut6ping3_mobile,1,1,5395,5395,99,107,936509440,936509440,936509440,936509440,7203884,7203884,14160364,5036156,10741888,17,"[""default.custom.yaml"",""common.yaml"",""common.custom.yaml"",""include.yaml"",""template.yaml"",""jyut6ping3.schema.yaml"",""jyut6ping3_mobile.schema.yaml"",""jyut6ping3.table.bin"",""jyut6ping3.reverse.bin"",""jyut6ping3_mobile.prism.bin"",""loengfan.schema.yaml"",""loengfan.dict.yaml"",""cangjie3.schema.yaml"",""cangjie3.dict.yaml"",""cangjie5.schema.yaml"",""cangjie5.dict.yaml"",""luna_pinyin_yune_reverse.dict.yaml""]",[]
tracked-dist,false,opencc,jyut6ping3_mobile,1,1,5373,5373,109,121,936509440,936509440,936509440,936509440,4700673,4700673,11646247,5541124,23912,19,"[""default.custom.yaml"",""common.yaml"",""common.custom.yaml"",""include.yaml"",""template.yaml"",""jyut6ping3.schema.yaml"",""jyut6ping3_mobile.schema.yaml"",""jyut6ping3.table.bin"",""jyut6ping3.reverse.bin"",""jyut6ping3_mobile.prism.bin"",""opencc/t2hkf.json"",""opencc/HKVariantsFull.txt"",""opencc/t2s.json"",""opencc/t2tw.json"",""opencc/hk2s.json"",""opencc/HKVariantsRev.ocd2"",""opencc/HKVariantsRevPhrases.ocd2"",""opencc/TSCharacters.ocd2"",""opencc/TSPhrases.ocd2""]",[]
public-demo-dist,true,opencc,jyut6ping3_mobile,1,1,5378,5378,104,108,936509440,936509440,936509440,936509440,4700673,4700673,11657153,5125628,8240238,19,"[""default.custom.yaml"",""common.yaml"",""common.custom.yaml"",""include.yaml"",""template.yaml"",""jyut6ping3.schema.yaml"",""jyut6ping3_mobile.schema.yaml"",""jyut6ping3.table.bin"",""jyut6ping3.reverse.bin"",""jyut6ping3_mobile.prism.bin"",""opencc/t2hkf.json"",""opencc/HKVariantsFull.txt"",""opencc/t2s.json"",""opencc/t2tw.json"",""opencc/hk2s.json"",""opencc/HKVariantsRev.ocd2"",""opencc/HKVariantsRevPhrases.ocd2"",""opencc/TSCharacters.ocd2"",""opencc/TSPhrases.ocd2""]",[]
tracked-dist,false,extras,jyut6ping3_mobile,1,1,5265,5265,104,109,936509440,936509440,936509440,936509440,0,0,6947341,5143496,23912,0,[],[]
public-demo-dist,true,extras,jyut6ping3_mobile,1,1,5269,5269,90,108,936509440,936509440,936509440,936509440,0,0,6958247,5123008,3522416,0,[],[]
tracked-dist,false,full-jyutping,jyut6ping3_mobile,1,1,5471,5471,97,122,936509440,936509440,936509440,936509440,26429822,26429822,33375396,5525452,23926,31,"[""default.custom.yaml"",""common.yaml"",""common.custom.yaml"",""include.yaml"",""template.yaml"",""jyut6ping3.schema.yaml"",""jyut6ping3_mobile.schema.yaml"",""jyut6ping3_scolar.schema.yaml"",""jyut6ping3_scolar.dict.yaml"",""loengfan.schema.yaml"",""loengfan.dict.yaml"",""cangjie3.schema.yaml"",""cangjie3.dict.yaml"",""cangjie5.schema.yaml"",""cangjie5.dict.yaml"",""luna_pinyin_yune_reverse.dict.yaml"",""opencc/t2hkf.json"",""opencc/HKVariantsFull.txt"",""opencc/t2s.json"",""opencc/t2tw.json"",""opencc/hk2s.json"",""opencc/HKVariantsRev.ocd2"",""opencc/HKVariantsRevPhrases.ocd2"",""opencc/TSCharacters.ocd2"",""opencc/TSPhrases.ocd2"",""jyut6ping3.table.bin"",""jyut6ping3.reverse.bin"",""jyut6ping3_mobile.prism.bin"",""jyut6ping3_scolar.table.bin"",""jyut6ping3_scolar.reverse.bin"",""jyut6ping3_scolar.prism.bin""]",[]
public-demo-dist,true,full-jyutping,jyut6ping3_mobile,1,1,5457,5457,91,108,936509440,936509440,936509440,936509440,26429822,26429822,33386290,5355920,29983102,31,"[""default.custom.yaml"",""common.yaml"",""common.custom.yaml"",""include.yaml"",""template.yaml"",""jyut6ping3.schema.yaml"",""jyut6ping3_mobile.schema.yaml"",""jyut6ping3_scolar.schema.yaml"",""jyut6ping3_scolar.dict.yaml"",""loengfan.schema.yaml"",""loengfan.dict.yaml"",""cangjie3.schema.yaml"",""cangjie3.dict.yaml"",""cangjie5.schema.yaml"",""cangjie5.dict.yaml"",""luna_pinyin_yune_reverse.dict.yaml"",""opencc/t2hkf.json"",""opencc/HKVariantsFull.txt"",""opencc/t2s.json"",""opencc/t2tw.json"",""opencc/hk2s.json"",""opencc/HKVariantsRev.ocd2"",""opencc/HKVariantsRevPhrases.ocd2"",""opencc/TSCharacters.ocd2"",""opencc/TSPhrases.ocd2"",""jyut6ping3.table.bin"",""jyut6ping3.reverse.bin"",""jyut6ping3_mobile.prism.bin"",""jyut6ping3_scolar.table.bin"",""jyut6ping3_scolar.reverse.bin"",""jyut6ping3_scolar.prism.bin""]",[]
