candidate_path,reference_path,line_number,reference_scope,reference_kind,matched_token,disposition
,apps/yune-web/e2e/startup-benchmark/comparator-metrics.ts,125,code-test,generic-output-name,samples.csv,informational
,apps/yune-web/e2e/startup-benchmark/metrics.ts,225,code-test,generic-output-name,samples.csv,informational
,apps/yune-web/e2e/yune-web-wasm-attribution.spec.ts,341,code-test,generic-output-name,samples.csv,informational
,crates/yune-rime-api/benches/native_inprocess_benchmark.rs,55,code-test,generic-output-name,samples.csv,informational
,crates/yune-rime-api/benches/native_inprocess_benchmark.rs,58,code-test,generic-output-name,m37_metrics.csv,informational
,crates/yune-rime-api/benches/native_inprocess_benchmark.rs,66,code-test,generic-output-name,startup_session_trace.csv,informational
,crates/yune-rime-api/benches/native_inprocess_benchmark.rs,1797,code-test,generic-output-name,rsmarisa-{dictionary_id}-string-table.marisa,informational
,crates/yune-rime-api/src/tests/session_api.rs,497,code-test,generic-output-name,m37_metrics.csv,informational
,docs/plans/completed/m39-plan-long-input-engine-hardening.md,196,historical-doc,generic-output-name,m37_metrics.csv,informational
,docs/plans/completed/m39-plan-long-input-engine-hardening.md,196,historical-doc,generic-output-name,samples.csv,informational
,docs/plans/completed/m39-plan-long-input-engine-hardening.md,197,historical-doc,generic-output-name,startup_session_trace.csv,informational
,docs/plans/completed/m39-plan-long-input-engine-hardening.md,201,historical-doc,generic-output-name,m37_metrics.csv,informational
,docs/plans/completed/m39-plan-long-input-engine-hardening.md,201,historical-doc,generic-output-name,samples.csv,informational
,docs/plans/completed/m39-plan-long-input-engine-hardening.md,300,historical-doc,generic-output-name,m37_metrics.csv,informational
,docs/plans/completed/m39-plan-long-input-engine-hardening.md,359,historical-doc,generic-output-name,m37_metrics.csv,informational
,docs/plans/completed/m42-plan-abbreviation-sentence-parity-short-key-guardrails.md,301,historical-doc,generic-output-name,m37_metrics.csv,informational
,docs/plans/completed/m42-plan-abbreviation-sentence-parity-short-key-guardrails.md,301,historical-doc,generic-output-name,samples.csv,informational
,docs/plans/completed/m42-plan-abbreviation-sentence-parity-short-key-guardrails.md,302,historical-doc,generic-output-name,startup_session_trace.csv,informational
,docs/plans/completed/m43-plan-native-memory-short-key-owner-reduction.md,53,historical-doc,generic-output-name,m37_metrics.csv,informational
,docs/plans/completed/m43-plan-native-memory-short-key-owner-reduction.md,156,historical-doc,generic-output-name,m37_metrics.csv,informational
,docs/plans/completed/m43-plan-native-memory-short-key-owner-reduction.md,302,historical-doc,generic-output-name,samples.csv,informational
,docs/plans/completed/m43-plan-native-memory-short-key-owner-reduction.md,303,historical-doc,generic-output-name,m37_metrics.csv,informational
,docs/plans/completed/m43-plan-native-memory-short-key-owner-reduction.md,304,historical-doc,generic-output-name,startup_session_trace.csv,informational
,docs/plans/completed/m44-plan-native-performance-owner-reduction.md,174,historical-doc,generic-output-name,m37_metrics.csv,informational
,docs/plans/completed/m44-plan-native-performance-owner-reduction.md,174,historical-doc,generic-output-name,samples.csv,informational
,docs/plans/completed/m44-plan-native-performance-owner-reduction.md,250,historical-doc,generic-output-name,m37_metrics.csv,informational
,docs/plans/completed/m45-plan-native-short-key-latency-memory-attribution.md,221,historical-doc,generic-output-name,m37_metrics.csv,informational
,docs/plans/completed/m46-plan-jyutping-native-wasm-memory-attribution.md,131,historical-doc,generic-output-name,m37_metrics.csv,informational
,docs/plans/completed/m50-plan-track-a-launch-readiness-completion.md,161,historical-doc,generic-output-name,m37_metrics.csv,informational
,docs/plans/completed/m50-plan-track-a-launch-readiness-completion.md,174,historical-doc,generic-output-name,m37_metrics.csv,informational
,docs/plans/completed/m50-plan-track-a-launch-readiness-completion.md,378,historical-doc,generic-output-name,m37_metrics.csv,informational
,docs/plans/completed/m57-plan-macos-track-a-sentence-model-parity.md,100,historical-doc,generic-output-name,m37_metrics.csv,informational
,docs/reports/evidence/current-performance-dashboard-2026-06-28/native-current-benchmark/product_path_status.csv,2,evidence-artifact,generic-output-name,rsmarisa-luna_pinyin-string-table.marisa,informational
,docs/reports/evidence/current-performance-dashboard-2026-06-28/native-current-benchmark/track-a-yune/product_path_status.csv,2,evidence-artifact,generic-output-name,rsmarisa-luna_pinyin-string-table.marisa,informational
,docs/reports/evidence/current-performance-dashboard-2026-06-29/native-current-benchmark/product_path_status.csv,2,evidence-artifact,unresolved-path-reference,Users\laubonghaudoi\Documents\GitHub\yune\docs\reports\evidence\current-performance-dashboard-2026-06-29\native-current-benchmark\track-a-yune\rsmarisa-luna_pinyin-string-table.marisa,informational
,docs/reports/evidence/current-performance-dashboard-2026-06-29/native-current-benchmark/product_path_status.csv,2,evidence-artifact,generic-output-name,rsmarisa-luna_pinyin-string-table.marisa,informational
