engine,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,startup_warm_shared_assets_runtime_ready,,0,1,909375.400,909375.400,14925824,170541056,170549248,182775808
yune,startup_warm_shared_assets_runtime_ready,,1,1,48305.900,48305.900,170676224,170717184,170717184,182775808
yune,startup_warm_shared_assets_runtime_ready,,2,1,48379.400,48379.400,170717184,170754048,170754048,182775808
yune,startup_warm_shared_assets_runtime_ready,,3,1,47556.300,47556.300,170754048,170782720,170782720,182775808
yune,startup_warm_shared_assets_runtime_ready,,4,1,46234.400,46234.400,170782720,170782720,170782720,182775808
yune,startup_warm_shared_assets_runtime_ready,,5,1,47305.300,47305.300,170782720,170807296,170807296,182775808
yune,startup_warm_shared_assets_runtime_ready,,6,1,47788.200,47788.200,170815488,170819584,170819584,182775808
yune,startup_warm_shared_assets_runtime_ready,,7,1,47950.900,47950.900,170819584,170835968,170835968,182775808
yune,startup_warm_shared_assets_runtime_ready,,8,1,47553.400,47553.400,170835968,170835968,170835968,182775808
yune,session_create_select_destroy,,0,1,46681.700,46681.700,170885120,170926080,0,182775808
yune,session_create_select_destroy,,1,1,55848.100,55848.100,170926080,170926080,0,182775808
yune,session_create_select_destroy,,2,1,48399.600,48399.600,170926080,170926080,0,182775808
yune,session_create_select_destroy,,3,1,46587.200,46587.200,170926080,170926080,0,182775808
yune,session_create_select_destroy,,4,1,48587.100,48587.100,170926080,170926080,0,182775808
yune,session_create_select_destroy,,5,1,50757.000,50757.000,170926080,170930176,0,182775808
yune,session_create_select_destroy,,6,1,47344.800,47344.800,170930176,170930176,0,182775808
yune,session_create_select_destroy,,7,1,46986.400,46986.400,170930176,170930176,0,182775808
yune,session_create_select_destroy,,8,1,47813.700,47813.700,170930176,170946560,0,182775808
yune,key_sequence_process_with_context,ni,0,2,5967.700,2983.850,171167744,171167744,0,182775808
