"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","44336.400","44336.400","7589888","11079680","10420224","12189696"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","23948.300","23948.300","10424320","11374592","10493952","13815808"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","2","1","21490.200","21490.200","10493952","11415552","10493952","13844480"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","1","21538.900","21538.900","10493952","11485184","10571776","13844480"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","4","1","22105.300","22105.300","10571776","11456512","10584064","13926400"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","0","1","21413.600","21413.600","10584064","10747904","unavailable","13950976"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","24194.500","24194.500","10747904","10866688","unavailable","13950976"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","2","1","23696.600","23696.600","10866688","10866688","unavailable","13950976"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","3","1","22744.700","22744.700","10866688","10924032","unavailable","13950976"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","4","1","22937.900","22937.900","10924032","10969088","unavailable","13959168"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","5","1","22852.100","22852.100","10969088","10981376","unavailable","13967360"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","6","1","26022.300","26022.300","10981376","10956800","unavailable","13967360"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","7","1","22359.200","22359.200","10956800","10960896","unavailable","13967360"
