engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,1275414.800,1275414.800,4702208,159301632,159305728,171802624
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,68003.400,68003.400,159313920,159330304,159330304,171802624
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,72157.100,72157.100,159330304,159346688,159346688,171802624
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,79312.100,79312.100,159346688,159363072,159363072,171802624
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,71311.300,71311.300,159363072,159371264,159371264,171802624
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,70204.500,70204.500,159371264,159375360,unavailable,171802624
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,79011.700,79011.700,159375360,159387648,unavailable,171802624
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,72187.800,72187.800,159387648,159387648,unavailable,171802624
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,78595.900,78595.900,159387648,159387648,unavailable,171802624
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,72817.900,72817.900,159387648,159412224,unavailable,171802624
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,76150.200,76150.200,159412224,159412224,unavailable,171802624
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,66381.700,66381.700,159412224,159428608,unavailable,171802624
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,67818.600,67818.600,159428608,159444992,unavailable,171802624
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,77509.200,77509.200,159444992,159444992,unavailable,171802624
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,72401.500,72401.500,159444992,159444992,unavailable,171802624
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,67188.000,67188.000,159444992,159444992,unavailable,171802624
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,73262.100,73262.100,159444992,159444992,unavailable,171802624
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,70010.100,70010.100,159444992,159453184,unavailable,171802624
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,66823.000,66823.000,159453184,159453184,unavailable,171802624
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,63591.500,63591.500,159453184,159469568,unavailable,171802624
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,66563.400,66563.400,159469568,159469568,unavailable,171802624
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,67304.200,67304.200,159469568,159469568,unavailable,171802624
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,76447.100,76447.100,159469568,159469568,unavailable,171802624
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,70846.400,70846.400,159469568,159469568,unavailable,171802624
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,19,1,71907.000,71907.000,159469568,159469568,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,0,2,9358.800,4679.400,159662080,159719424,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,1,2,8413.000,4206.500,159719424,159719424,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,2,2,9325.200,4662.600,159719424,159723520,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,3,2,8575.300,4287.650,159723520,159723520,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,4,2,8303.700,4151.850,159723520,159723520,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,5,2,9163.600,4581.800,159723520,159723520,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,6,2,11183.000,5591.500,159723520,159723520,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,7,2,9340.500,4670.250,159723520,159723520,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,8,2,10084.600,5042.300,159723520,159739904,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,9,2,10962.200,5481.100,159739904,159739904,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,10,2,8905.900,4452.950,159739904,159739904,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,11,2,8104.900,4052.450,159739904,159739904,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,12,2,8804.200,4402.100,159739904,159739904,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,13,2,9640.300,4820.150,159739904,159739904,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,14,2,9857.600,4928.800,159739904,159739904,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,15,2,9010.100,4505.050,159739904,159739904,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,16,2,9011.300,4505.650,159739904,159739904,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,17,2,9560.700,4780.350,159739904,159739904,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,18,2,9248.000,4624.000,159739904,159739904,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,19,2,9146.600,4573.300,159739904,159739904,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,0,3,18201.100,6067.033,159780864,159784960,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,1,3,18034.100,6011.367,159784960,159784960,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,2,3,18340.300,6113.433,159784960,159805440,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,3,3,19821.700,6607.233,159805440,159805440,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,4,3,28461.300,9487.100,159805440,159805440,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,5,3,29496.400,9832.133,159805440,159805440,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,6,3,23776.900,7925.633,159805440,159805440,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,7,3,21877.000,7292.333,159805440,159805440,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,8,3,24370.500,8123.500,159805440,159821824,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,9,3,21219.400,7073.133,159821824,159821824,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,10,3,19100.300,6366.767,159821824,159821824,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,11,3,20494.900,6831.633,159821824,159821824,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,12,3,17764.500,5921.500,159821824,159821824,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,13,3,17582.600,5860.867,159821824,159821824,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,14,3,17024.500,5674.833,159821824,159821824,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,15,3,19042.200,6347.400,159821824,159821824,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,16,3,20512.900,6837.633,159821824,159821824,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,17,3,23510.800,7836.933,159821824,159821824,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,18,3,21360.500,7120.167,159821824,159825920,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,19,3,20602.000,6867.333,159825920,159842304,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,0,8,56730.600,7091.325,161325056,161325056,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,1,8,50363.800,6295.475,161325056,161325056,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,2,8,53290.500,6661.312,161325056,161325056,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,3,8,57053.000,7131.625,161325056,161325056,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,4,8,54667.100,6833.388,161325056,161325056,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,5,8,56021.800,7002.725,161325056,161325056,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,6,8,53767.200,6720.900,161325056,161325056,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,7,8,50984.000,6373.000,161325056,161325056,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,8,8,60048.400,7506.050,161325056,161325056,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,9,8,53438.200,6679.775,161325056,161325056,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,10,8,55204.900,6900.613,161325056,161325056,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,11,8,53124.000,6640.500,161325056,161325056,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,12,8,54477.900,6809.738,161325056,161325056,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,13,8,51951.600,6493.950,161325056,161325056,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,14,8,49934.000,6241.750,161325056,161329152,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,15,8,52354.900,6544.363,161329152,161329152,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,16,8,53023.600,6627.950,161329152,161329152,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,17,8,49888.500,6236.062,161329152,161329152,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,18,8,51707.300,6463.412,161329152,161329152,unavailable,171802624
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,19,8,53088.300,6636.037,161329152,161329152,unavailable,171802624
