engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,0,2,2,7245200,6,4528600,9004,5260,2333,39500,5000,477000,100,67400,2333,0,5,1,1664300,5,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,1,2,2,7245700,6,5247300,9004,5260,2333,38000,4500,181400,100,157400,2333,0,5,1,2021300,5,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,2,2,2,8197700,6,5831500,9004,5260,2333,39400,3500,230800,100,131700,2333,0,5,1,2759700,5,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,3,2,2,8099500,6,5104600,9004,5260,2333,56800,10300,164900,200,152100,2333,0,5,1,1736800,5,1,700
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,4,2,2,7539700,6,5221300,9004,5260,2333,37900,3500,153200,100,66100,2333,0,5,1,2088700,5,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,5,2,2,7293400,6,4924500,9004,5260,2333,45800,2900,147700,0,133000,2333,0,5,1,3257500,5,1,600
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,6,2,2,7337500,6,4500000,9004,5260,2333,38300,3300,297700,0,113000,2333,0,5,1,1586000,5,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,7,2,2,8203900,6,5890500,9004,5260,2333,40900,4900,186700,100,165800,2333,0,5,1,1948100,5,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,8,2,2,5874400,6,3571500,9004,5260,2333,38100,2900,219200,200,48200,2333,0,5,1,1471000,5,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,9,2,2,7412700,6,5024700,9004,5260,2333,96500,3300,289200,0,76400,2333,0,5,1,2904600,5,1,900
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,10,2,2,6658000,6,4031800,9004,5260,2333,38200,3200,212100,200,130600,2333,0,5,1,2230100,5,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,11,2,2,7296100,6,5365500,9004,5260,2333,38600,3000,165700,200,121500,2333,0,5,1,2408600,5,1,600
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,12,2,2,7367800,6,4465200,9004,5260,2333,39000,3500,186500,0,56900,2333,0,5,1,1536600,5,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,13,2,2,6699800,6,4625900,9004,5260,2333,39300,3800,224100,0,117000,2333,0,5,1,2090700,5,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,14,2,2,6674600,6,3713800,9004,5260,2333,38000,3100,257600,100,144000,2333,0,5,1,2039600,5,1,300
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,15,2,2,7609800,6,4966200,9004,5260,2333,40500,4400,247000,100,91200,2333,0,5,1,1730800,5,1,500
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,16,2,2,6145400,6,3613300,9004,5260,2333,38500,3400,134700,0,58400,2333,0,5,1,1644900,5,1,300
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,17,2,2,7089800,6,5302700,9004,5260,2333,39400,3100,140200,200,35900,2333,0,5,1,2009200,5,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,18,2,2,7424000,6,4791000,9004,5260,2333,38800,3900,152200,100,134100,2333,0,5,1,1531600,5,1,500
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,19,2,2,6480000,6,4708300,9004,5260,2333,37900,2100,138900,0,45700,2333,0,5,1,1893900,5,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,0,3,3,16252000,9,11442000,18870,11240,4852,88700,4900,334500,0,368900,4852,0,5,1,2089700,5,1,800
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,1,3,3,14676000,9,10158000,18870,11240,4852,105900,4900,341800,0,145400,4852,0,5,1,1831600,5,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,2,3,3,16112800,9,11417100,18870,11240,4852,88300,4900,453700,0,345100,4852,0,5,1,1666500,5,1,200
