"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","20","60","11.667","12.233","12.233","12.233","12062720","14209024"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","20","40","14.600","15.050","15.050","15.050","12148736","14077952"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","20","160","182.025","189.325","189.325","189.325","13053952","14209024"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","27242.700","31407.400","31407.400","31407.400","10919936","14073856"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","29831.100","49108.400","49108.400","49108.400","11517952","14004224"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","20","60","4126.067","4734.300","4734.300","4734.300","160964608","171872256"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","20","40","3099.900","3958.350","3958.350","3958.350","160759808","171872256"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","20","160","5051.987","5695.550","5695.550","5695.550","161153024","171872256"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","50044.900","53065.900","53065.900","53065.900","159666176","171872256"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","55058.100","861084.900","861084.900","861084.900","159580160","171872256"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","20","60","21631.300","24815.200","24815.200","24815.200","778264576","928989184"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","20","260","8082.785","9339.131","9339.131","9339.131","778301440","928989184"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","20","220","5490.973","6169.791","6169.791","6169.791","778313728","928989184"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","20","140","5069.186","5998.129","5998.129","5998.129","778297344","928989184"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","20","20","243299.900","260292.400","260292.400","260292.400","762068992","928989184"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","5","5","203741.100","25219586.500","25219586.500","25219586.500","774918144","928989184"
