engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,0,2,2,5023200,6,3256800,9004,5260,2333,35100,2600,131900,0,33100,2333,0,5,1,1439100,5,1,300
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,1,2,2,4830400,6,3176300,9004,5260,2333,34300,1800,126500,0,35500,2333,0,5,1,1385500,5,1,300
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,2,2,2,4786200,6,3172100,9004,5260,2333,34400,1500,116700,100,41500,2333,0,5,1,1382400,5,1,300
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,3,2,2,6077100,6,3956500,9004,5260,2333,39500,2900,135500,100,31000,2333,0,5,1,1822100,5,1,500
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,4,2,2,5316600,6,3513400,9004,5260,2333,35500,2300,134000,100,39600,2333,0,5,1,1434700,5,1,200
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,5,2,2,5762700,6,3764500,9004,5260,2333,37100,2600,156400,200,85300,2333,0,5,1,1503100,5,1,400
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,6,2,2,4978700,6,3302100,9004,5260,2333,35000,2000,132100,100,32900,2333,0,5,1,1389100,5,1,200
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,7,2,2,4797800,6,3162600,9004,5260,2333,33700,1300,125700,100,33100,2333,0,5,1,1380200,5,1,200
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,8,2,2,4830800,6,3188300,9004,5260,2333,33700,1200,130000,0,35800,2333,0,5,1,1379000,5,1,200
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,9,2,2,4684700,6,3082900,9004,5260,2333,33500,1300,118500,100,31400,2333,0,5,1,1366500,5,1,200
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,10,2,2,4658000,6,3013300,9004,5260,2333,33900,1800,118800,100,30700,2333,0,5,1,1369000,5,1,300
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,11,2,2,4731300,6,3089300,9004,5260,2333,34700,1800,126100,200,32800,2333,0,5,1,1379300,5,1,300
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,12,2,2,4788700,6,3098900,9004,5260,2333,35700,1900,119500,200,38400,2333,0,5,1,1407100,5,1,200
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,13,2,2,4671200,6,3062000,9004,5260,2333,33200,1400,124900,100,29400,2333,0,5,1,1402200,5,1,200
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,14,2,2,4758600,6,3134500,9004,5260,2333,33300,1200,128100,100,35400,2333,0,5,1,1372500,5,1,200
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,15,2,2,4702400,6,3093100,9004,5260,2333,33000,1700,120100,300,33900,2333,0,5,1,1378500,5,1,200
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,16,2,2,4713300,6,3096500,9004,5260,2333,33000,1300,120000,100,33900,2333,0,5,1,1371200,5,1,300
