engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,1182538.000,1182538.000,4718592,160849920,160854016,171786240
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,75890.900,75890.900,160862208,161087488,161087488,171786240
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,67366.800,67366.800,161087488,161116160,161116160,171786240
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,63780.100,63780.100,161116160,161140736,161140736,171786240
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,76518.300,76518.300,161140736,161140736,161140736,171786240
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,66554.200,66554.200,161140736,161140736,unavailable,171786240
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,71423.800,71423.800,161140736,161140736,unavailable,171786240
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,68897.400,68897.400,161140736,161148928,unavailable,171786240
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,66009.200,66009.200,161148928,161148928,unavailable,171786240
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,65046.200,65046.200,161148928,161165312,unavailable,171786240
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,63315.100,63315.100,161165312,161165312,unavailable,171786240
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,71236.100,71236.100,161165312,161165312,unavailable,171786240
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,67363.600,67363.600,161165312,161173504,unavailable,171786240
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,65949.900,65949.900,161173504,161173504,unavailable,171786240
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,66757.000,66757.000,161173504,161173504,unavailable,171786240
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,65139.500,65139.500,161173504,161173504,unavailable,171786240
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,64823.100,64823.100,161173504,161173504,unavailable,171786240
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,77032.800,77032.800,161173504,161181696,unavailable,171786240
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,65208.700,65208.700,161181696,161181696,unavailable,171786240
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,72174.200,72174.200,161181696,161198080,unavailable,171786240
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,65701.000,65701.000,161198080,161198080,unavailable,171786240
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,67395.200,67395.200,161198080,161198080,unavailable,171786240
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,63039.400,63039.400,161198080,161198080,unavailable,171786240
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,68158.900,68158.900,161198080,161198080,unavailable,171786240
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,19,1,79202.300,79202.300,161198080,161198080,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,0,2,9287.800,4643.900,161435648,161492992,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,1,2,9950.900,4975.450,161492992,161492992,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,2,2,7994.800,3997.400,161492992,161492992,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,3,2,10619.400,5309.700,161492992,161492992,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,4,2,10160.000,5080.000,161492992,161505280,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,5,2,9236.100,4618.050,161505280,161505280,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,6,2,10147.900,5073.950,161505280,161517568,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,7,2,9260.500,4630.250,161517568,161517568,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,8,2,10639.600,5319.800,161517568,161538048,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,9,2,11029.100,5514.550,161538048,161538048,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,10,2,9635.000,4817.500,161538048,161538048,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,11,2,9052.700,4526.350,161538048,161554432,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,12,2,8694.400,4347.200,161554432,161554432,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,13,2,9754.800,4877.400,161554432,161554432,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,14,2,9362.100,4681.050,161554432,161554432,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,15,2,8577.700,4288.850,161554432,161554432,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,16,2,9937.900,4968.950,161554432,161554432,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,17,2,11134.400,5567.200,161554432,161554432,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,18,2,8970.300,4485.150,161554432,161554432,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,19,2,10301.800,5150.900,161554432,161554432,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,0,3,17253.400,5751.133,161615872,161615872,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,1,3,15471.600,5157.200,161615872,161619968,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,2,3,17094.000,5698.000,161619968,161632256,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,3,3,17948.200,5982.733,161632256,161632256,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,4,3,20170.600,6723.533,161632256,161632256,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,5,3,21269.700,7089.900,161632256,161632256,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,6,3,19815.100,6605.033,161632256,161632256,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,7,3,19747.900,6582.633,161632256,161640448,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,8,3,18755.000,6251.667,161640448,161640448,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,9,3,18418.400,6139.467,161640448,161640448,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,10,3,18140.100,6046.700,161640448,161640448,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,11,3,20144.800,6714.933,161640448,161640448,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,12,3,20571.800,6857.267,161640448,161640448,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,13,3,17061.700,5687.233,161640448,161640448,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,14,3,17207.000,5735.667,161640448,161640448,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,15,3,18438.600,6146.200,161640448,161640448,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,16,3,15901.300,5300.433,161640448,161640448,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,17,3,16507.600,5502.533,161640448,161640448,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,18,3,16334.000,5444.667,161640448,161656832,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,19,3,16062.900,5354.300,161656832,161660928,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,0,8,53831.200,6728.900,161681408,161681408,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,1,8,54076.000,6759.500,161681408,161681408,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,2,8,55106.500,6888.312,161681408,161681408,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,3,8,49044.100,6130.512,161681408,161681408,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,4,8,51578.400,6447.300,161681408,161681408,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,5,8,52971.900,6621.488,161681408,161681408,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,6,8,42963.100,5370.387,161681408,161681408,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,7,8,50150.500,6268.812,161681408,161681408,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,8,8,55359.800,6919.975,161681408,161685504,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,9,8,54701.000,6837.625,161685504,161685504,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,10,8,54526.400,6815.800,161685504,161685504,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,11,8,53297.500,6662.188,161685504,161685504,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,12,8,52593.700,6574.212,161685504,161685504,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,13,8,53089.400,6636.175,161685504,161685504,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,14,8,53097.500,6637.188,161685504,161685504,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,15,8,48824.000,6103.000,161685504,161685504,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,16,8,48811.700,6101.462,161685504,161685504,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,17,8,52201.300,6525.162,161685504,161685504,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,18,8,56097.500,7012.188,161685504,161685504,unavailable,171786240
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,19,8,53182.600,6647.825,161685504,161685504,unavailable,171786240
