engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,0,3,3,22692000,9,21738600,19918,52,48,400,3600,57600,0,2000,48,0,5,1,376900,5,1,400
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,1,3,3,22415200,9,21502500,19918,52,48,300,2200,52700,100,2200,48,0,5,1,369200,5,1,500
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,2,3,3,22025400,9,21082600,19918,52,48,700,2700,53000,0,2100,48,0,5,1,370200,5,1,400
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,3,3,3,23528800,9,22589700,19918,52,48,500,3100,55100,0,2500,48,0,5,1,376500,5,1,400
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,4,3,3,21738500,9,20834800,19918,52,48,200,2600,55200,100,2400,48,0,5,1,450400,5,1,600
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,5,3,3,23667900,9,22693700,19918,52,48,500,3500,56600,200,2300,48,0,5,1,386700,5,1,400
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,6,3,3,22036100,9,21077800,19918,52,48,700,2600,53900,100,1900,48,0,5,1,368400,5,1,400
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,7,3,3,23153100,9,22195600,19918,52,48,600,3800,53800,0,2200,48,0,5,1,377800,5,1,400
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,8,3,3,22370800,9,21412000,19918,52,48,600,3300,57100,100,2400,48,0,5,1,375700,5,1,400
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,9,3,3,22193800,9,21250400,19918,52,48,400,2900,53000,100,2600,48,0,5,1,372500,5,1,400
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,10,3,3,21356300,9,20489100,19918,52,48,100,1700,49800,0,2000,48,0,5,1,366400,5,1,400
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,11,3,3,21676200,9,20825700,19918,52,48,200,2000,51200,0,2000,48,0,5,1,360500,5,1,300
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,12,3,3,22327000,9,21384900,19918,52,48,800,2100,56600,100,2000,48,0,5,1,371000,5,1,400
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,13,3,3,25472100,9,24617300,19918,52,48,300,1500,50600,100,1600,48,0,5,1,364400,5,1,400
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,14,3,3,21226700,9,20405900,19918,52,48,0,1600,39700,0,1300,48,0,5,1,356400,5,1,400
