"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","50","150","11.800","12.300","14.200","14.200","12288000","14184448"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","50","100","14.650","15.050","17.850","17.850","12259328","14118912"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","50","400","183.500","188.800","191.325","191.325","13266944","14254080"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","29258.300","33935.400","33935.400","33935.400","11038720","14118912"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","28107.700","53777.900","53777.900","53777.900","11538432","14020608"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","50","150","3827.167","4118.867","4891.000","4891.000","161222656","172261376"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","50","100","2907.000","2979.350","2985.500","2985.500","160919552","172261376"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","50","400","4103.200","5754.812","6946.525","6946.525","161357824","172261376"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","46428.600","47475.700","47475.700","47475.700","159899648","172261376"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","45927.300","801082.900","801082.900","801082.900","159838208","172261376"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","50","150","7160.767","7816.533","8241.300","8241.300","859922432","1049202688"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","50","650","18589.585","19549.477","20409.069","20409.069","861331456","1049202688"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","50","550","7621.409","8050.082","9162.518","9162.518","861876224","1049202688"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","50","350","6830.686","7822.143","8059.400","8059.400","860000256","1049202688"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","20","20","189475.900","213210.000","213210.000","213210.000","846807040","1049202688"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","150129.500","5525414.000","5525414.000","5525414.000","859607040","1049202688"
