"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","50","150","11.600","12.333","13.233","13.233","12259328","14200832"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","50","100","14.450","15.050","17.250","17.250","12361728","14123008"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","50","400","177.363","185.900","188.787","188.787","13287424","14249984"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","25402.000","29267.600","29267.600","29267.600","11055104","14123008"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","24444.200","44820.900","44820.900","44820.900","11558912","14041088"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","50","150","32.600","33.900","34.567","34.567","161173504","172097536"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","50","100","26.600","28.250","29.200","29.200","161079296","172097536"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","50","400","31.275","32.750","38.188","38.188","161255424","172097536"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","28505.300","29209.800","29209.800","29209.800","160952320","172097536"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","27992.100","762515.500","762515.500","762515.500","160841728","172097536"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","50","150","7080.633","7607.033","7718.567","7718.567","854155264","1049038848"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","50","650","17931.477","18207.369","18325.523","18325.523","856375296","1049038848"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","50","550","7134.591","7644.700","7787.664","7787.664","857972736","1049038848"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","50","350","6183.214","6644.914","6886.214","6886.214","854376448","1049038848"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","20","20","172993.700","182043.000","182043.000","182043.000","840151040","1049038848"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","148973.400","5433180.000","5433180.000","5433180.000","852959232","1049038848"
