engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,0,1,5843176.700,5843176.700,4714496,851795968,838950912,1048870912
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,1,1,197388.200,197388.200,839016448,853467136,840617984,1048870912
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,2,1,195776.200,195776.200,840617984,854290432,841441280,1048870912
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,3,1,200698.600,200698.600,841441280,854294528,841445376,1048870912
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,4,1,189115.400,189115.400,841445376,854302720,841453568,1048870912
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,5,1,194281.800,194281.800,841453568,854302720,841453568,1048870912
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,6,1,197515.500,197515.500,841453568,854302720,841453568,1048870912
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,7,1,186507.500,186507.500,841453568,854343680,841494528,1048870912
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,8,1,187861.200,187861.200,841494528,854343680,841494528,1048870912
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,0,1,226473.800,226473.800,841494528,841506816,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,1,1,228837.500,228837.500,841506816,841506816,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,2,1,255034.900,255034.900,841506816,841510912,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,3,1,253347.200,253347.200,841510912,841510912,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,4,1,243988.200,243988.200,841510912,841510912,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,5,1,239622.500,239622.500,841510912,841510912,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,6,1,246149.200,246149.200,841510912,841510912,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,7,1,235149.000,235149.000,841510912,841510912,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,8,1,237204.800,237204.800,841510912,841510912,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,9,1,241261.400,241261.400,841510912,841519104,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,10,1,244102.800,244102.800,841519104,841519104,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,11,1,233285.800,233285.800,841519104,841515008,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,12,1,237472.400,237472.400,841515008,841510912,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,13,1,240123.000,240123.000,841510912,841510912,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,14,1,245607.800,245607.800,841510912,841510912,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,15,1,246967.400,246967.400,841510912,841510912,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,16,1,236337.200,236337.200,841510912,841510912,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,17,1,242675.300,242675.300,841510912,841510912,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,18,1,242775.600,242775.600,841510912,841510912,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,19,1,250626.600,250626.600,841510912,841510912,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,0,3,32307.500,10769.167,854441984,854474752,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,1,3,33552.200,11184.067,854474752,854474752,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,2,3,35641.000,11880.333,854474752,854474752,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,3,3,38479.700,12826.567,854474752,854474752,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,4,3,34917.200,11639.067,854474752,854474752,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,5,3,36351.000,12117.000,854474752,854474752,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,6,3,34877.200,11625.733,854474752,854474752,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,7,3,32962.500,10987.500,854474752,854474752,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,8,3,33932.200,11310.733,854474752,854474752,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,9,3,34306.800,11435.600,854474752,854474752,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,10,3,35341.900,11780.633,854474752,854474752,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,11,3,33561.300,11187.100,854474752,854474752,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,12,3,32915.200,10971.733,854474752,854474752,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,13,3,32743.900,10914.633,854474752,854474752,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,14,3,33104.500,11034.833,854474752,854474752,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,15,3,32943.900,10981.300,854474752,854474752,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,16,3,32945.800,10981.933,854474752,854474752,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,17,3,35564.900,11854.967,854474752,854474752,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,18,3,33158.200,11052.733,854474752,854470656,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,19,3,33288.900,11096.300,854470656,854470656,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,20,3,33036.100,11012.033,854470656,854466560,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,21,3,33653.200,11217.733,854466560,854466560,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,22,3,33337.300,11112.433,854466560,854466560,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,23,3,32773.000,10924.333,854466560,854466560,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,24,3,35034.000,11678.000,854466560,854466560,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,25,3,37747.400,12582.467,854466560,854466560,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,26,3,36260.600,12086.867,854466560,854466560,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,27,3,36047.200,12015.733,854466560,854466560,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,28,3,36170.400,12056.800,854466560,854466560,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,29,3,34857.200,11619.067,854466560,854466560,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,30,3,36748.200,12249.400,854466560,854466560,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,31,3,37121.800,12373.933,854466560,854466560,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,32,3,39060.800,13020.267,854466560,854466560,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,33,3,37968.300,12656.100,854466560,854466560,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,34,3,36196.300,12065.433,854466560,854466560,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,35,3,36237.700,12079.233,854466560,854466560,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,36,3,34492.100,11497.367,854466560,854470656,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,37,3,34014.000,11338.000,854470656,854474752,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,38,3,34642.600,11547.533,854474752,854474752,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,39,3,34533.500,11511.167,854474752,854482944,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,40,3,33252.000,11084.000,854482944,854482944,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,41,3,33211.700,11070.567,854482944,854482944,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,42,3,34109.300,11369.767,854482944,854482944,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,43,3,32696.500,10898.833,854482944,854482944,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,44,3,33928.700,11309.567,854482944,854482944,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,45,3,36938.900,12312.967,854482944,854487040,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,46,3,35157.400,11719.133,854487040,854487040,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,47,3,33418.300,11139.433,854487040,854487040,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,48,3,36928.400,12309.467,854487040,854487040,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,49,3,37037.500,12345.833,854487040,854491136,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,0,7,69695.000,9956.429,854519808,854519808,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,1,7,68563.300,9794.757,854519808,854523904,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,2,7,66611.700,9515.957,854523904,854523904,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,3,7,65502.400,9357.486,854523904,854523904,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,4,7,72032.500,10290.357,854523904,854523904,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,5,7,68598.300,9799.757,854523904,854523904,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,6,7,67429.100,9632.729,854523904,854523904,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,7,7,67670.100,9667.157,854523904,854523904,unavailable,1048870912
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,8,7,65472.400,9353.200,854523904,854523904,unavailable,1048870912
