engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,0,1,5506207.000,5506207.000,4722688,855166976,842321920,1049387008
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,1,1,147871.100,147871.100,842399744,859447296,846598144,1049387008
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,2,1,146769.400,146769.400,846598144,859463680,846614528,1049387008
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,3,1,160556.600,160556.600,846614528,859467776,846618624,1049387008
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,4,1,151860.300,151860.300,846618624,859471872,846622720,1049387008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,0,1,205795.900,205795.900,846622720,846630912,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,1,1,215630.300,215630.300,846630912,846630912,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,2,1,178743.100,178743.100,846635008,846655488,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,3,1,181371.300,181371.300,846655488,846655488,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,4,1,175662.600,175662.600,846655488,846659584,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,5,1,173224.800,173224.800,846659584,846659584,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,6,1,190141.200,190141.200,846659584,846659584,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,7,1,187796.700,187796.700,846663680,846663680,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,8,1,179876.000,179876.000,846663680,846663680,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,9,1,197303.100,197303.100,846667776,846667776,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,0,3,20031.400,6677.133,860594176,860618752,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,1,3,19946.600,6648.867,860618752,860618752,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,2,3,19844.900,6614.967,860618752,860618752,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,3,3,20029.100,6676.367,860618752,860618752,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,4,3,19927.900,6642.633,860618752,860618752,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,5,3,19970.400,6656.800,860618752,860618752,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,6,3,19903.400,6634.467,860618752,860618752,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,7,3,19946.500,6648.833,860618752,860618752,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,8,3,19880.400,6626.800,860618752,860618752,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,9,3,19825.700,6608.567,860618752,860618752,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,10,3,19958.900,6652.967,860618752,860618752,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,11,3,19942.400,6647.467,860618752,860618752,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,12,3,19959.200,6653.067,860618752,860618752,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,13,3,20716.600,6905.533,860618752,860618752,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,14,3,21673.500,7224.500,860618752,860618752,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,15,3,20343.000,6781.000,860618752,860618752,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,16,3,19902.600,6634.200,860618752,860618752,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,17,3,20081.400,6693.800,860618752,860618752,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,18,3,20031.900,6677.300,860618752,860618752,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,19,3,20105.900,6701.967,860618752,860618752,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,0,7,45268.000,6466.857,860909568,860909568,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,1,7,46213.600,6601.943,860909568,860909568,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,2,7,44312.900,6330.414,860909568,860909568,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,3,7,43310.400,6187.200,860909568,860909568,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,4,7,43684.100,6240.586,860909568,860909568,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,5,7,46150.200,6592.886,860909568,860909568,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,6,7,51184.500,7312.071,860909568,860909568,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,7,7,47926.100,6846.586,860909568,860909568,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,8,7,47489.100,6784.157,860909568,860909568,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,9,7,46248.200,6606.886,860909568,860909568,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,10,7,46496.300,6642.329,860909568,860909568,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,11,7,43218.200,6174.029,860909568,860909568,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,12,7,42136.800,6019.543,860909568,860909568,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,13,7,41771.400,5967.343,860909568,860909568,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,14,7,49105.500,7015.071,860909568,860909568,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,15,7,48725.900,6960.843,860909568,860909568,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,16,7,44984.300,6426.329,860909568,860909568,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,17,7,44843.400,6406.200,860909568,860909568,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,18,7,44324.100,6332.014,860909568,860909568,unavailable,1049387008
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,19,7,46353.900,6621.986,860909568,860909568,unavailable,1049387008
