"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","20","60","11.733","31.433","31.433","31.433","11984896","14139392"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","20","40","14.550","17.400","17.400","17.400","11948032","14036992"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","20","160","183.287","191.562","191.562","191.562","13037568","14168064"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","10","10","23208.200","26963.800","26963.800","26963.800","10924032","14012416"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","20781.000","40545.700","40545.700","40545.700","11481088","14012416"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","20","60","26.133","28.133","28.133","28.133","38797312","40841216"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","20","40","36.550","40.850","40.850","40.850","38502400","40841216"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","20","160","105.575","110.812","110.812","110.812","38846464","40841216"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","10","10","32543.900","33245.000","33245.000","33245.000","35487744","40841216"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","32709.200","100599.100","100599.100","100599.100","36745216","40841216"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","20","60","7643.733","9598.700","9598.700","9598.700","849956864","1049026560"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","20","260","20007.623","21703.069","21703.069","21703.069","853311488","1049026560"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","20","220","7612.200","9064.945","9064.945","9064.945","854818816","1049026560"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","20","140","5995.257","6531.800","6531.800","6531.800","850350080","1049026560"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","10","10","217067.400","233688.100","233688.100","233688.100","836583424","1049026560"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","5","5","159549.000","5580662.000","5580662.000","5580662.000","847929344","1049026560"
