engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,90543.700,90543.700,4714496,36605952,35119104,40796160
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,29569.200,29569.200,34484224,36646912,35196928,40796160
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,29121.700,29121.700,35205120,36790272,35278848,40796160
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,30562.700,30562.700,35282944,36814848,35295232,40796160
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,29397.000,29397.000,35299328,36765696,35323904,40796160
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,29035.600,29035.600,35323904,35434496,unavailable,40796160
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,29822.200,29822.200,35434496,35319808,unavailable,40796160
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,29359.800,29359.800,35328000,35434496,unavailable,40796160
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,29400.000,29400.000,35434496,35487744,unavailable,40796160
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,29128.400,29128.400,35491840,35332096,unavailable,40796160
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,29418.000,29418.000,35336192,35291136,unavailable,40796160
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,28815.700,28815.700,35291136,35442688,unavailable,40796160
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,28560.200,28560.200,35446784,35536896,unavailable,40796160
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,28920.200,28920.200,35536896,35401728,unavailable,40796160
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,29442.500,29442.500,35401728,35581952,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,0,2,73.700,36.850,38584320,38608896,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,1,2,74.100,37.050,38608896,38608896,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,2,2,73.000,36.500,38608896,38608896,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,3,2,75.500,37.750,38608896,38617088,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,4,2,72.400,36.200,38617088,38617088,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,5,2,76.900,38.450,38617088,38617088,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,6,2,72.000,36.000,38617088,38617088,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,7,2,72.400,36.200,38617088,38617088,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,8,2,72.100,36.050,38617088,38625280,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,9,2,72.300,36.150,38625280,38625280,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,10,2,71.700,35.850,38625280,38625280,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,11,2,71.900,35.950,38625280,38625280,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,12,2,72.500,36.250,38625280,38625280,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,13,2,72.100,36.050,38625280,38625280,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,14,2,72.300,36.150,38625280,38625280,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,15,2,72.200,36.100,38625280,38625280,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,16,2,71.800,35.900,38625280,38625280,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,17,2,71.800,35.900,38625280,38625280,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,18,2,72.300,36.150,38625280,38625280,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,19,2,72.100,36.050,38625280,38629376,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,0,3,79.100,26.367,38744064,38744064,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,1,3,81.600,27.200,38744064,38744064,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,2,3,83.500,27.833,38744064,38744064,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,3,3,78.900,26.300,38744064,38744064,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,4,3,81.800,27.267,38744064,38748160,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,5,3,78.800,26.267,38748160,38748160,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,6,3,79.800,26.600,38748160,38748160,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,7,3,78.100,26.033,38748160,38748160,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,8,3,78.700,26.233,38748160,38748160,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,9,3,79.900,26.633,38748160,38748160,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,10,3,79.800,26.600,38748160,38748160,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,11,3,78.600,26.200,38748160,38748160,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,12,3,78.400,26.133,38748160,38748160,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,13,3,78.100,26.033,38748160,38748160,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,14,3,77.900,25.967,38748160,38748160,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,15,3,77.700,25.900,38748160,38748160,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,16,3,77.600,25.867,38748160,38748160,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,17,3,78.100,26.033,38748160,38748160,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,18,3,77.800,25.933,38748160,38748160,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,19,3,77.800,25.933,38748160,38748160,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,0,8,862.000,107.750,39215104,39215104,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,1,8,865.900,108.237,39215104,39215104,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,2,8,874.400,109.300,39215104,39219200,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,3,8,867.100,108.388,39219200,39219200,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,4,8,867.500,108.438,39219200,39219200,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,5,8,866.900,108.362,39219200,39219200,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,6,8,878.400,109.800,39219200,39219200,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,7,8,874.700,109.337,39219200,39219200,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,8,8,865.700,108.212,39219200,39219200,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,9,8,871.000,108.875,39219200,39219200,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,10,8,865.000,108.125,39219200,39219200,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,11,8,878.000,109.750,39219200,39219200,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,12,8,867.100,108.388,39219200,39219200,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,13,8,877.700,109.713,39219200,39219200,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,14,8,868.000,108.500,39219200,39219200,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,15,8,873.700,109.213,39219200,39219200,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,16,8,870.400,108.800,39219200,39219200,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,17,8,866.900,108.362,39219200,39219200,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,18,8,872.000,109.000,39219200,39219200,unavailable,40796160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,19,8,869.300,108.663,39219200,39219200,unavailable,40796160
