engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,93596.800,93596.800,4714496,37384192,34742272,41553920
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,27088.200,27088.200,34836480,37507072,35581952,41553920
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,26090.200,26090.200,34861056,37462016,35655680,41553920
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,27044.700,27044.700,34955264,37490688,35717120,41553920
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,26848.000,26848.000,35721216,37466112,34889728,41553920
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,26838.800,26838.800,34889728,34820096,unavailable,41553920
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,26985.500,26985.500,34824192,34930688,unavailable,41553920
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,26659.100,26659.100,34955264,35557376,unavailable,41553920
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,26172.100,26172.100,35561472,34861056,unavailable,41553920
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,26791.700,26791.700,34861056,35229696,unavailable,41553920
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,26332.500,26332.500,35233792,35688448,unavailable,41553920
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,26614.000,26614.000,35688448,35041280,unavailable,41553920
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,27528.300,27528.300,35045376,35045376,unavailable,41553920
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,26806.500,26806.500,35049472,35024896,unavailable,41553920
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,25960.500,25960.500,35024896,35041280,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,0,2,73.800,36.900,37822464,37855232,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,1,2,78.300,39.150,37855232,37855232,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,2,2,76.200,38.100,37855232,37855232,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,3,2,74.900,37.450,37855232,37855232,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,4,2,79.500,39.750,37855232,37855232,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,5,2,74.900,37.450,37855232,37855232,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,6,2,74.000,37.000,37855232,37855232,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,7,2,74.000,37.000,37855232,37855232,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,8,2,74.600,37.300,37855232,37855232,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,9,2,75.600,37.800,37855232,37859328,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,10,2,74.400,37.200,37859328,37875712,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,11,2,78.900,39.450,37875712,37883904,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,12,2,75.600,37.800,37883904,37883904,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,13,2,74.100,37.050,37883904,37883904,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,14,2,77.600,38.800,37883904,37896192,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,15,2,76.100,38.050,37896192,37900288,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,16,2,74.200,37.100,37900288,37900288,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,17,2,74.000,37.000,37900288,37900288,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,18,2,74.600,37.300,37900288,37900288,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,19,2,74.100,37.050,37904384,37904384,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,0,3,80.900,26.967,37617664,37617664,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,1,3,82.700,27.567,37617664,37617664,unavailable,41553920
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,2,3,81.000,27.000,37617664,37617664,unavailable,41553920
