"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","49588.000","49588.000","7598080","11218944","10530816","12214272"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","27273.300","27273.300","10534912","11481088","10596352","13918208"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","2","1","21236.900","21236.900","10596352","11468800","10579968","13967360"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","1","28497.200","28497.200","10579968","11485184","10604544","13967360"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","4","1","25204.600","25204.600","10604544","11497472","10612736","14000128"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","1","23662.400","23662.400","10612736","11485184","10612736","14004224"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","6","1","22316.600","22316.600","10612736","11530240","10637312","14024704"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","7","1","27927.700","27927.700","10637312","11522048","10616832","14024704"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","8","1","20879.400","20879.400","10616832","11571200","10661888","14024704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","0","1","26503.800","26503.800","10665984","10829824","unavailable","14024704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","26650.700","26650.700","10829824","10907648","unavailable","14024704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","2","1","22795.900","22795.900","10907648","10973184","unavailable","14024704"
