engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,0,1,5643720.300,5643720.300,4743168,851836928,838991872,1049186304
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,1,1,147316.100,147316.100,839057408,853221376,840372224,1049186304
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,2,1,147103.000,147103.000,840372224,853217280,840368128,1049186304
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,3,1,149984.400,149984.400,840368128,853237760,840388608,1049186304
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,4,1,172089.000,172089.000,840388608,853237760,840388608,1049186304
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,5,1,165048.200,165048.200,840388608,853237760,840388608,1049186304
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,6,1,160051.200,160051.200,840388608,853237760,840388608,1049186304
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,7,1,177229.900,177229.900,840388608,853241856,840392704,1049186304
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,8,1,171657.700,171657.700,840392704,853245952,840396800,1049186304
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,0,1,259204.900,259204.900,840396800,840400896,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,1,1,216805.300,216805.300,840400896,840400896,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,2,1,233859.800,233859.800,840400896,840400896,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,3,1,205215.800,205215.800,840400896,840400896,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,4,1,199485.400,199485.400,840400896,840400896,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,5,1,195163.800,195163.800,840400896,840400896,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,6,1,176694.600,176694.600,840470528,840470528,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,7,1,190256.400,190256.400,840474624,840486912,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,8,1,196904.000,196904.000,840491008,840495104,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,9,1,233853.200,233853.200,840499200,840503296,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,10,1,206217.800,206217.800,840507392,840507392,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,11,1,182617.600,182617.600,840507392,840507392,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,12,1,175536.500,175536.500,840511488,840507392,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,13,1,183613.700,183613.700,840511488,840511488,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,14,1,176675.100,176675.100,840515584,840536064,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,15,1,194144.200,194144.200,840540160,840540160,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,16,1,176815.200,176815.200,840544256,840544256,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,17,1,196781.900,196781.900,840548352,840548352,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,18,1,214565.300,214565.300,840552448,840556544,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,19,1,192589.300,192589.300,840560640,840560640,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,0,3,20440.100,6813.367,854491136,854515712,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,1,3,20927.000,6975.667,854515712,854515712,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,2,3,21097.200,7032.400,854515712,854515712,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,3,3,20967.800,6989.267,854515712,854515712,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,4,3,21069.500,7023.167,854515712,854515712,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,5,3,20925.300,6975.100,854515712,854515712,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,6,3,20597.400,6865.800,854515712,854515712,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,7,3,20472.900,6824.300,854515712,854515712,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,8,3,21353.000,7117.667,854515712,854515712,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,9,3,20992.400,6997.467,854515712,854515712,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,10,3,20346.100,6782.033,854515712,854515712,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,11,3,20332.000,6777.333,854515712,854515712,unavailable,1049186304
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,12,3,21141.200,7047.067,854515712,854515712,unavailable,1049186304
