"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","50","150","11.433","12.633","17.567","17.567","12300288","14090240"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","30","30","27036.800","30257.600","31574.400","31574.400","11030528","14090240"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","31623.200","53222.900","53222.900","53222.900","11444224","13922304"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","50","150","38.400","40.100","42.067","42.067","90320896","127537152"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","30","30","24205.300","25475.100","25602.000","25602.000","87212032","127537152"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","23924.200","2808119.700","2808119.700","2808119.700","89800704","127537152"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","h","50","50","1668.200","1853.300","1993.600","1993.600","440201216","504401920"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ha","50","100","1156.050","1304.800","1392.600","1392.600","440733696","504401920"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","50","150","772.133","805.800","998.633","998.633","441540608","504401920"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hau","50","150","782.400","842.100","978.667","978.667","441540608","504401920"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","nei","50","150","388.900","399.033","549.533","549.533","441548800","504401920"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","50","3050","31.672","33.661","38.890","38.890","441556992","504401920"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngo","50","150","567.467","574.033","822.967","822.967","442351616","504401920"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","30","30","148041.300","225133.500","232305.000","232305.000","427532288","504401920"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","5","5","180751.800","1195520.000","1195520.000","1195520.000","434552832","504401920"
