engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2964465.700,2964465.700,4739072,91148288,87408640,127528960,696320,75329536,71462912,75329536,75329536,112230400
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,23709.000,23709.000,87437312,90963968,86892544,127528960,71462912,75476992,72126464,75476992,75476992,112230400
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,23436.800,23436.800,86896640,90009600,87007232,127528960,72130560,73773056,71405568,73773056,73773056,112230400
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,23056.800,23056.800,87015424,89919488,87019520,127528960,71405568,73650176,71634944,73650176,73650176,112230400
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,23283.500,23283.500,87023616,89948160,86978560,127528960,71634944,73940992,71360512,73940992,73940992,112230400
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,24563.400,24563.400,86978560,89911296,87064576,127528960,71360512,73580544,71454720,73580544,73580544,112230400
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,23398.500,23398.500,87064576,89927680,87048192,127528960,71454720,73572352,71327744,73572352,73572352,112230400
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,23211.700,23211.700,87052288,89911296,87044096,127528960,71331840,73474048,71573504,73474048,73474048,112230400
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,23997.900,23997.900,87044096,89931776,87027712,127528960,71573504,73461760,71323648,73461760,73461760,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,23548.000,23548.000,87027712,87109632,unavailable,127528960,71323648,71233536,unavailable,71233536,71233536,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,23483.300,23483.300,87109632,87044096,unavailable,127528960,71233536,71196672,unavailable,71196672,71196672,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,23470.400,23470.400,87044096,87093248,unavailable,127528960,71196672,71397376,unavailable,71397376,71397376,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,23591.800,23591.800,87093248,87089152,unavailable,127528960,71397376,71208960,unavailable,71208960,71208960,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,24627.100,24627.100,87089152,87126016,unavailable,127528960,71208960,71319552,unavailable,71319552,71319552,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,25674.100,25674.100,87126016,87072768,unavailable,127528960,71319552,71200768,unavailable,71200768,71200768,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,24266.600,24266.600,87117824,87183360,unavailable,127528960,71282688,71446528,unavailable,71446528,71446528,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,23951.000,23951.000,87187456,87216128,unavailable,127528960,71446528,71475200,unavailable,71475200,71475200,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,23863.100,23863.100,87216128,87199744,unavailable,127528960,71475200,71307264,unavailable,71307264,71307264,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,23803.900,23803.900,87203840,87248896,unavailable,127528960,71307264,71544832,unavailable,71544832,71544832,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,23594.900,23594.900,87248896,87216128,unavailable,127528960,71544832,71774208,unavailable,71774208,71774208,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,23391.500,23391.500,87224320,87224320,unavailable,127528960,71778304,71491584,unavailable,71491584,71491584,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,23342.000,23342.000,87228416,87203840,unavailable,127528960,71491584,71794688,unavailable,71794688,71794688,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,23296.100,23296.100,87203840,87310336,unavailable,127528960,71794688,71557120,unavailable,71557120,71557120,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,23094.000,23094.000,87314432,87306240,unavailable,127528960,71557120,71397376,unavailable,71397376,71397376,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,23461.500,23461.500,87310336,87355392,unavailable,127528960,71401472,71626752,unavailable,71626752,71626752,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,23191.700,23191.700,87359488,87298048,unavailable,127528960,71626752,71409664,unavailable,71409664,71409664,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,23449.500,23449.500,87298048,87416832,unavailable,127528960,71409664,71639040,unavailable,71639040,71639040,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,23907.200,23907.200,87420928,87388160,unavailable,127528960,71639040,71610368,unavailable,71610368,71610368,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,19,1,23219.000,23219.000,87388160,87490560,unavailable,127528960,71610368,71704576,unavailable,71704576,71704576,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,20,1,23176.000,23176.000,87494656,87425024,unavailable,127528960,71704576,71659520,unavailable,71659520,71659520,112230400
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,21,1,23107.300,23107.300,87429120,87445504,unavailable,127528960,71659520,71708672,unavailable,71708672,71708672,112230400
