event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5435392,5.2,782336,0.7,5435392,5.2,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6651904,6.3,1015808,1,6651904,6.3,5749,0,26489,0,,,""
2,"m47:phase:after_setup",6844416,6.5,1015808,1,6844416,6.5,7327,0,26489,0,,,""
3,"m47:phase:after_initialize",6852608,6.5,1015808,1,6852608,6.5,7405,0,26489,0,,,""
4,"m47:phase:after_deploy",12181504,11.6,2334720,2.2,84692992,80.8,8056,0,62833086,59.9,,,""
5,"m47:translator:script_translator@translator:dictionary:jyut6ping3:before_dictionary_load",13574144,12.9,3268608,3.1,84692992,80.8,408379,0.4,62833086,59.9,,,""
6,"m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382",17059840,16.3,6778880,6.5,84692992,80.8,3876276,3.7,62833086,59.9,,,""
7,"m47:compiled_dictionary:jyut6ping3:after_prism_byte_source_open:prism_bytes=19354757",17059840,16.3,6815744,6.5,84692992,80.8,3876480,3.7,62833086,59.9,,,""
8,"m47:compiled_dictionary:jyut6ping3:after_reverse_bytes_read:reverse_bytes=3592525",20656128,19.7,10416128,9.9,84692992,80.8,7468953,7.1,62833086,59.9,,,""
9,"m47:compiled_dictionary:jyut6ping3:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",45563904,43.5,25067520,23.9,84692992,80.8,17211146,16.4,62833086,59.9,,,""
10,"m47:compact_table:after_lookup_record_payload_parse:lookup_texts=125487:lookup_records=127144",104185856,99.4,73531392,70.1,104185856,99.4,50966424,48.6,62833086,59.9,,,""
11,"m47:compiled_dictionary:jyut6ping3:after_table_advanced_payload_parse:lookup_texts=125487:lookup_records=127144",104185856,99.4,73531392,70.1,104185856,99.4,50966602,48.6,62833086,59.9,,,""
12,"m47:compiled_dictionary:jyut6ping3:after_compact_table_store_parse",173973504,165.9,142258176,135.7,180416512,172.1,96512536,92,104675104,99.8,,,""
13,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_dictionary_load",102330368,97.6,72138752,68.8,180416512,172.1,45956299,43.8,104675104,99.8,,,""
14,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=114653",154042368,146.9,122511360,116.8,180416512,172.1,84426345,80.5,104675104,99.8,,,""
15,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_translator_index_build",109821952,104.7,77692928,74.1,180416512,172.1,50723618,48.4,104675104,99.8,,,""
16,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:before_dictionary_load",109932544,104.8,77692928,74.1,180416512,172.1,50724943,48.4,104675104,99.8,,,""
17,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_byte_source_open:table_bytes=4640555",109932544,104.8,77701120,74.1,180416512,172.1,50727710,48.4,104675104,99.8,,,""
18,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_prism_byte_source_open:prism_bytes=1497453",109932544,104.8,77701120,74.1,180416512,172.1,50727914,48.4,104675104,99.8,,,""
19,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_bytes_read:reverse_bytes=1263091",111198208,106,78970880,75.3,180416512,172.1,51990953,49.6,104675104,99.8,,,""
20,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",117903360,112.4,84910080,81,180416512,172.1,56916156,54.3,104675104,99.8,,,""
21,"m47:compact_table:after_lookup_record_payload_parse:lookup_texts=62158:lookup_records=70807",141033472,134.5,102899712,98.1,180416512,172.1,71602948,68.3,104675104,99.8,,,""
22,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_advanced_payload_parse:lookup_texts=62158:lookup_records=70807",141033472,134.5,102899712,98.1,180416512,172.1,71603126,68.3,104675104,99.8,,,""
23,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_compact_table_store_parse",168398848,160.6,130953216,124.9,180416512,172.1,89802102,85.6,104675104,99.8,,,""
24,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_dictionary_load",142512128,135.9,106029056,101.1,180416512,172.1,68926837,65.7,104675104,99.8,,,""
25,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=19975",159776768,152.4,122351616,116.7,180416512,172.1,84614613,80.7,104675104,99.8,,,""
26,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_translator_index_build",143515648,136.9,106295296,101.4,180416512,172.1,69965715,66.7,104675104,99.8,,,""
27,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:skip_dictionary_load:load_lookup_records=false",143720448,137.1,107216896,102.3,180416512,172.1,69966572,66.7,104675104,99.8,,,""
28,"m47:phase:after_create_session",143925248,137.3,107692032,102.7,180416512,172.1,69757760,66.5,104675104,99.8,,,""
29,"m47:phase:after_select_schema",143994880,137.3,107741184,102.8,180416512,172.1,69757887,66.5,104675104,99.8,,,""
30,"m47:phase:after_typing_neihoumaa",144457728,137.8,107786240,102.8,180416512,172.1,69808481,66.6,104675104,99.8,,,""
31,"m47:phase:steady_after_esc",144457728,137.8,107786240,102.8,180416512,172.1,69807595,66.6,104675104,99.8,,,""
