event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5287936,5,794624,0.8,5287936,5,4030,0,8900,0,,,""
1,"m47:phase:after_temp_schema_copy",6422528,6.1,1028096,1,6422528,6.1,5616,0,26356,0,,,""
2,"m47:phase:after_setup",6631424,6.3,1028096,1,6631424,6.3,7194,0,26356,0,,,""
3,"m47:phase:after_initialize",6639616,6.3,1028096,1,6639616,6.3,7272,0,26356,0,,,""
4,"m47:deploy_workspace:start",6643712,6.3,1028096,1,6643712,6.3,7325,0,26356,0,,,""
5,"m47:deploy_workspace:after_installation_update",7122944,6.8,1064960,1,7147520,6.8,8011,0,61335,0.1,,,""
6,"m47:deploy:workspace_update:start",7131136,6.8,1064960,1,7147520,6.8,8044,0,61335,0.1,,,""
7,"m47:deploy:workspace_update:after_default_config",7700480,7.3,1130496,1.1,7860224,7.5,8092,0,391593,0.4,,,""
8,"m47:deploy:workspace_update:after_prebuilt_link_sync",7725056,7.4,1138688,1.1,7860224,7.5,8144,0,391593,0.4,,,""
9,"m47:deploy:workspace_update:after_schema_list:schema_count=1",7983104,7.6,1298432,1.2,8060928,7.7,112410,0.1,391593,0.4,,,""
10,"m47:deploy:luna_pinyin:after_staging_metadata:table=false:prism=false:reverse=false",11546624,11,5255168,5,11546624,11,1750109,1.7,1786373,1.7,,,""
11,"m47:deploy:luna_pinyin:after_prebuilt_metadata:table_bytes=4640486:prism_bytes=1642925:reverse_bytes=1263091",11612160,11.1,5255168,5,11612160,11.1,1750261,1.7,1786373,1.7,,,""
12,"m47:deploy:luna_pinyin:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",10977280,10.5,4300800,4.1,11960320,11.4,1750367,1.7,2336735,2.2,,,""
13,"m47:deploy:jyut6ping3_scolar:after_staging_metadata:table=false:prism=false:reverse=false",16678912,15.9,9486336,9,16678912,15.9,7370886,7,7371022,7,,,""
14,"m47:deploy:jyut6ping3_scolar:after_prebuilt_metadata:table_bytes=12478842:prism_bytes=325:reverse_bytes=89",16744448,16,9486336,9,16744448,16,7371038,7,7371531,7,,,""
15,"m47:deploy:jyut6ping3_scolar:after_rebuild_plan:table=ReusedFresh:prism=Rebuilt:reverse=ReusedFresh",16797696,16,9555968,9.1,16838656,16.1,7371144,7,7551442,7.2,,,""
16,"m47:deploy:jyut6ping3_scolar:after_rebuild_execute",83898368,80,77029376,73.5,83898368,80,59902922,57.1,62835268,59.9,,,""
17,"m47:deploy:luna_pinyin_yune_reverse:after_staging_metadata:table=false:prism=false:reverse=false",11907072,11.4,3182592,3,83918848,80,245544,0.2,62835268,59.9,,,""
18,"m47:deploy:luna_pinyin_yune_reverse:after_prebuilt_metadata:table_bytes=4640555:prism_bytes=1497453:reverse_bytes=1263091",11907072,11.4,3182592,3,83918848,80,245696,0.2,62835268,59.9,,,""
19,"m47:deploy:luna_pinyin_yune_reverse:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",12005376,11.4,3321856,3.2,83918848,80,245908,0.2,62835268,59.9,,,""
20,"m47:deploy:jyut6ping3:after_staging_metadata:table=false:prism=false:reverse=false",15474688,14.8,6795264,6.5,83918848,80,3712865,3.5,62835268,59.9,,,""
21,"m47:deploy:jyut6ping3:after_prebuilt_metadata:table_bytes=15248382:prism_bytes=19354757:reverse_bytes=3592525",15474688,14.8,6795264,6.5,83918848,80,3713017,3.5,62835268,59.9,,,""
22,"m47:deploy:jyut6ping3:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",15474688,14.8,6795264,6.5,83918848,80,3713123,3.5,62835268,59.9,,,""
23,"m47:deploy:workspace_update:after_schema:jyut6ping3_mobile",11800576,11.3,3076096,2.9,83918848,80,116308,0.1,62835268,59.9,,,""
24,"m47:deploy_workspace:after_workspace_maintenance",11698176,11.2,2998272,2.9,83918848,80,12896,0,62835268,59.9,,,""
25,"m47:phase:after_deploy",11743232,11.2,3026944,2.9,83918848,80,12948,0,62835268,59.9,,,""
26,"m47:translator:script_translator@translator:dictionary:jyut6ping3:before_dictionary_load",12804096,12.2,3477504,3.3,83918848,80,412847,0.4,62835268,59.9,,,""
27,"m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382",16289792,15.5,6987776,6.7,83918848,80,3880744,3.7,62835268,59.9,,,""
28,"m47:compiled_dictionary:jyut6ping3:after_prism_byte_source_open:prism_bytes=19354757",16289792,15.5,7024640,6.7,83918848,80,3880948,3.7,62835268,59.9,,,""
29,"m47:compiled_dictionary:jyut6ping3:after_reverse_bytes_read:reverse_bytes=3592525",19886080,19,10629120,10.1,83918848,80,7473421,7.1,62835268,59.9,,,""
