event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5287936,5,790528,0.8,5287936,5,4030,0,8900,0,,,""
1,"m47:phase:after_temp_schema_copy",6512640,6.2,1032192,1,6512640,6.2,5616,0,26356,0,,,""
2,"m47:phase:after_setup",6717440,6.4,1032192,1,6717440,6.4,7194,0,26356,0,,,""
3,"m47:phase:after_initialize",6725632,6.4,1032192,1,6725632,6.4,7272,0,26356,0,,,""
4,"m47:deploy_workspace:start",6729728,6.4,1032192,1,6729728,6.4,7325,0,26356,0,,,""
5,"m47:deploy_workspace:after_installation_update",7241728,6.9,1069056,1,7241728,6.9,8011,0,61335,0.1,,,""
6,"m47:deploy:workspace_update:start",7249920,6.9,1069056,1,7249920,6.9,8044,0,61335,0.1,,,""
7,"m47:deploy:workspace_update:after_default_config",7901184,7.5,1404928,1.3,8019968,7.6,8092,0,391593,0.4,,,""
8,"m47:deploy:workspace_update:after_prebuilt_link_sync",7917568,7.6,1404928,1.3,8019968,7.6,8144,0,391593,0.4,,,""
9,"m47:deploy:workspace_update:after_schema_list:schema_count=1",8060928,7.7,1310720,1.3,8196096,7.8,112410,0.1,391593,0.4,,,""
10,"m47:deploy:luna_pinyin:after_staging_metadata:table=false:prism=false:reverse=false",10801152,10.3,3887104,3.7,10801152,10.3,1750128,1.7,1786392,1.7,,,""
11,"m47:deploy:luna_pinyin:after_prebuilt_metadata:table_bytes=4640486:prism_bytes=1642925:reverse_bytes=1263091",10866688,10.4,3887104,3.7,10866688,10.4,1750280,1.7,1786392,1.7,,,""
12,"m47:deploy:luna_pinyin:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",10735616,10.2,3555328,3.4,11280384,10.8,1750386,1.7,2336754,2.2,,,""
