event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5271552,5,786432,0.8,5271552,5,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6516736,6.2,1036288,1,6516736,6.2,5749,0,26489,0,,,""
2,"m47:phase:after_setup",6713344,6.4,1036288,1,6713344,6.4,7327,0,26489,0,,,""
3,"m47:phase:after_initialize",6721536,6.4,1036288,1,6721536,6.4,7405,0,26489,0,,,""
4,"m47:deploy_workspace:start",6725632,6.4,1036288,1,6725632,6.4,7458,0,26489,0,,,""
5,"m47:deploy_workspace:after_installation_update",7233536,6.9,1073152,1,7233536,6.9,8144,0,61468,0.1,,,""
6,"m47:deploy:workspace_update:start",7241728,6.9,1073152,1,7241728,6.9,8177,0,61468,0.1,,,""
7,"m47:deploy:workspace_update:after_default_config",7819264,7.5,1167360,1.1,7999488,7.6,8225,0,391726,0.4,,,""
8,"m47:deploy:workspace_update:after_prebuilt_link_sync",7843840,7.5,1167360,1.1,7999488,7.6,8277,0,391726,0.4,,,""
9,"m47:deploy:workspace_update:after_schema_list:schema_count=1",8060928,7.7,1310720,1.3,8192000,7.8,112543,0.1,391726,0.4,,,""
10,"m47:deploy:luna_pinyin:after_staging_metadata:table=false:prism=false:reverse=false",10686464,10.2,3579904,3.4,10686464,10.2,1750261,1.7,1786525,1.7,,,""
11,"m47:deploy:luna_pinyin:after_prebuilt_metadata:table_bytes=4640486:prism_bytes=1642925:reverse_bytes=1263091",10743808,10.2,3579904,3.4,10743808,10.2,1750413,1.7,1786525,1.7,,,""
12,"m47:deploy:luna_pinyin:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",10756096,10.3,3579904,3.4,11280384,10.8,1750519,1.7,2336887,2.2,,,""
13,"m47:deploy:luna_pinyin_yune_reverse:after_staging_metadata:table=false:prism=false:reverse=false",9482240,9,2428928,2.3,11280384,10.8,243560,0.2,2336887,2.2,,,""
14,"m47:deploy:luna_pinyin_yune_reverse:after_prebuilt_metadata:table_bytes=4640555:prism_bytes=1497453:reverse_bytes=1263091",9482240,9,2428928,2.3,11280384,10.8,243712,0.2,2336887,2.2,,,""
15,"m47:deploy:luna_pinyin_yune_reverse:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",9478144,9,2289664,2.2,11280384,10.8,243924,0.2,2336887,2.2,,,""
16,"m47:deploy:jyut6ping3:after_staging_metadata:table=false:prism=false:reverse=false",12947456,12.3,5767168,5.5,12947456,12.3,3710881,3.5,3711013,3.5,,,""
17,"m47:deploy:jyut6ping3:after_prebuilt_metadata:table_bytes=15248382:prism_bytes=19354757:reverse_bytes=3592525",12947456,12.3,5767168,5.5,12947456,12.3,3712697,3.5,3712865,3.5,,,""
18,"m47:deploy:jyut6ping3:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",12955648,12.4,5779456,5.5,12988416,12.4,3712803,3.5,3893101,3.7,,,""
19,"m47:deploy:workspace_update:after_schema:jyut6ping3_mobile",9138176,8.7,1892352,1.8,12988416,12.4,115969,0.1,3893101,3.7,,,""
20,"m47:deploy_workspace:after_workspace_maintenance",9064448,8.6,1818624,1.7,12988416,12.4,12557,0,3893101,3.7,,,""
21,"m47:phase:after_deploy",9121792,8.7,1859584,1.8,12988416,12.4,12609,0,3893101,3.7,,,""
22,"m47:translator:script_translator@translator:dictionary:jyut6ping3:before_dictionary_load",11689984,11.1,2887680,2.8,12988416,12.4,412622,0.4,3893101,3.7,,,""
23,"m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382",15179776,14.5,6393856,6.1,15179776,14.5,3880519,3.7,3893101,3.7,,,""
24,"m47:compiled_dictionary:jyut6ping3:after_prism_byte_source_open:prism_bytes=19354757",15179776,14.5,6430720,6.1,15179776,14.5,3880723,3.7,3893101,3.7,,,""
25,"m47:compiled_dictionary:jyut6ping3:after_reverse_bytes_read:reverse_bytes=3592525",18780160,17.9,10035200,9.6,18780160,17.9,7473196,7.1,7473248,7.1,,,""
26,"m47:compiled_dictionary:jyut6ping3:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",43683840,41.7,24244224,23.1,43683840,41.7,17214557,16.4,17214557,16.4,,,""
27,"m47:compiled_dictionary:jyut6ping3:after_reverse_advanced_merge_drop",26435584,25.2,6709248,6.4,43728896,41.7,3880957,3.7,17214557,16.4,,,""
28,"m47:compact_table:after_lookup_record_payload_skip:lookup_texts=125487:lookup_records=127144",37924864,36.2,6709248,6.4,43728896,41.7,3881117,3.7,17214557,16.4,,,""
29,"m47:compiled_dictionary:jyut6ping3:after_table_advanced_payload_parse:lookup_texts=0:lookup_records=0",37924864,36.2,6709248,6.4,43728896,41.7,3881295,3.7,17214557,16.4,,,""
30,"m47:compiled_dictionary:jyut6ping3:after_compact_table_store_parse",54943744,52.4,20615168,19.7,64757760,61.8,15672113,14.9,23834681,22.7,,,""
31,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_dictionary_load",51474432,49.1,17141760,16.3,64757760,61.8,12204708,11.6,23834681,22.7,,,""
32,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=114653",57995264,55.3,23871488,22.8,64757760,61.8,16919638,16.1,23834681,22.7,,,""
33,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_translator_index_build",59170816,56.4,24559616,23.4,64757760,61.8,16975355,16.2,23834681,22.7,,,""
34,"m47:translator:script_translator@luna_pinyin:skip_translator_load:load_translator=false",59285504,56.5,24559616,23.4,64757760,61.8,16975002,16.2,23834681,22.7,,,""
35,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:skip_dictionary_load:load_lookup_records=false",58384384,55.7,23629824,22.5,64757760,61.8,16975226,16.2,23834681,22.7,,,""
