"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes","before_private_bytes","after_ready_private_bytes","after_finalize_private_bytes","private_bytes","pagefile_bytes","peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","41046.400","41046.400","7016448","10518528","9859072","11616256","1626112","3383296","2641920","3383296","3383296","5656576"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","24341.800","24341.800","9863168","10862592","9977856","13303808","2641920","3678208","2621440","3678208","3678208","6029312"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","2","1","27911.600","27911.600","9977856","10883072","9981952","13332480","2621440","3735552","2629632","3735552","3735552","6041600"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","1","23539.500","23539.500","9981952","10907648","9998336","13365248","2629632","3817472","2650112","3817472","3817472","6111232"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","4","1","22408.700","22408.700","9998336","10911744","9998336","13365248","2650112","3805184","2646016","3805184","3805184","6111232"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","1","25892.100","25892.100","9998336","11001856","10145792","13389824","2646016","3973120","2883584","3973120","3973120","6111232"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","6","1","23465.300","23465.300","10145792","10997760","10158080","13451264","2883584","3989504","3198976","3989504","3989504","6217728"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","7","1","23315.100","23315.100","10158080","10977280","10182656","13451264","3198976","3846144","3264512","3846144","3846144","6217728"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","8","1","27015.200","27015.200","10182656","10997760","10194944","13479936","3264512","3944448","3305472","3944448","3944448","6287360"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","0","1","24250.000","24250.000","10199040","10416128","unavailable","13524992","3309568","3121152","unavailable","3121152","3121152","6287360"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","22902.100","22902.100","10416128","10403840","unavailable","13524992","3121152","3108864","unavailable","3108864","3108864","6287360"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","2","1","24043.600","24043.600","10403840","10395648","unavailable","13524992","3108864","3092480","unavailable","3092480","3092480","6287360"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","3","1","24535.900","24535.900","10395648","10493952","unavailable","13524992","3092480","3608576","unavailable","3608576","3608576","6287360"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","4","1","29102.700","29102.700","10493952","10481664","unavailable","13524992","3608576","3186688","unavailable","3186688","3186688","6287360"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","5","1","28831.400","28831.400","10481664","10412032","unavailable","13524992","3186688","3112960","unavailable","3112960","3112960","6287360"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","6","1","24456.100","24456.100","10412032","10412032","unavailable","13524992","3112960","3108864","unavailable","3108864","3108864","6287360"
