engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2862436.200,2862436.200,4141056,173862912,173985792,188436480,700416,189104128,189104128,189104128,189104128,204468224
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,22880.300,22880.300,174014464,174936064,173690880,188436480,189104128,189898752,188313600,189898752,189898752,204468224
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,22781.800,22781.800,173690880,175017984,173772800,188436480,188313600,189898752,188313600,189898752,189898752,204468224
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,23754.700,23754.700,173772800,175042560,173793280,188436480,188313600,189898752,188313600,189898752,189898752,204468224
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,23120.600,23120.600,173793280,175046656,173797376,188436480,188313600,189898752,188313600,189898752,189898752,204468224
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,22877.700,22877.700,173797376,175140864,173891584,188436480,188313600,189898752,188313600,189898752,189898752,204468224
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,22986.900,22986.900,173891584,175165440,173916160,188436480,188313600,189898752,188313600,189898752,189898752,204468224
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,22953.000,22953.000,173916160,175169536,173920256,188436480,188313600,189898752,188313600,189898752,189898752,204468224
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,22961.300,22961.300,173920256,175177728,173928448,188436480,188313600,189898752,188313600,189898752,189898752,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,23122.500,23122.500,173928448,173961216,unavailable,188436480,188313600,188313600,unavailable,188313600,188313600,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,23171.100,23171.100,173961216,173969408,unavailable,188436480,188313600,188313600,unavailable,188313600,188313600,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,23082.700,23082.700,173969408,173965312,unavailable,188436480,188313600,188313600,unavailable,188313600,188313600,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,23068.100,23068.100,173965312,173969408,unavailable,188436480,188313600,188317696,unavailable,188317696,188317696,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,23127.000,23127.000,173969408,173961216,unavailable,188436480,188317696,188317696,unavailable,188317696,188317696,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,23179.100,23179.100,173961216,173965312,unavailable,188436480,188317696,188317696,unavailable,188317696,188317696,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,23183.300,23183.300,173965312,173961216,unavailable,188436480,188317696,188317696,unavailable,188317696,188317696,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,23165.700,23165.700,173961216,173965312,unavailable,188436480,188317696,188317696,unavailable,188317696,188317696,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,23221.200,23221.200,173965312,173961216,unavailable,188436480,188317696,188317696,unavailable,188317696,188317696,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,23140.400,23140.400,173961216,173965312,unavailable,188436480,188317696,188317696,unavailable,188317696,188317696,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,23296.800,23296.800,173965312,173969408,unavailable,188436480,188317696,188317696,unavailable,188317696,188317696,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,24237.000,24237.000,173969408,173961216,unavailable,188436480,188317696,188317696,unavailable,188317696,188317696,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,23304.900,23304.900,173961216,173961216,unavailable,188436480,188317696,188317696,unavailable,188317696,188317696,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,24190.000,24190.000,173961216,173957120,unavailable,188436480,188317696,188317696,unavailable,188317696,188317696,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,23197.500,23197.500,173957120,173989888,unavailable,188436480,188317696,188317696,unavailable,188317696,188317696,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,23173.200,23173.200,173989888,173993984,unavailable,188436480,188317696,188317696,unavailable,188317696,188317696,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,23258.700,23258.700,173993984,174039040,unavailable,188436480,188317696,188497920,unavailable,188497920,188497920,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,23570.700,23570.700,174039040,175292416,unavailable,188436480,188497920,190078976,unavailable,190078976,190078976,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,25379.100,25379.100,175292416,175288320,unavailable,188436480,190078976,190078976,unavailable,190078976,190078976,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,19,1,23869.500,23869.500,175288320,175325184,unavailable,188436480,190078976,190078976,unavailable,190078976,190078976,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,20,1,26848.600,26848.600,175325184,175407104,unavailable,188436480,190078976,190078976,unavailable,190078976,190078976,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,21,1,24271.200,24271.200,175407104,175390720,unavailable,188436480,190078976,190078976,unavailable,190078976,190078976,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,22,1,23493.800,23493.800,175390720,175628288,unavailable,188436480,190078976,190078976,unavailable,190078976,190078976,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,23,1,23352.300,23352.300,175628288,175636480,unavailable,188436480,190078976,190078976,unavailable,190078976,190078976,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,24,1,23234.300,23234.300,175636480,175669248,unavailable,188436480,190078976,190078976,unavailable,190078976,190078976,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,25,1,23205.400,23205.400,175669248,175665152,unavailable,188436480,190078976,190078976,unavailable,190078976,190078976,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,26,1,23035.700,23035.700,175665152,175697920,unavailable,188436480,190078976,190078976,unavailable,190078976,190078976,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,27,1,23132.700,23132.700,175697920,175702016,unavailable,188436480,190078976,190078976,unavailable,190078976,190078976,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,28,1,23152.700,23152.700,175702016,175718400,unavailable,188436480,190078976,190078976,unavailable,190078976,190078976,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,29,1,23306.500,23306.500,175718400,175714304,unavailable,188436480,190078976,190078976,unavailable,190078976,190078976,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,30,1,23714.900,23714.900,175714304,175775744,unavailable,188436480,190078976,190078976,unavailable,190078976,190078976,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,31,1,23195.000,23195.000,175775744,175763456,unavailable,188436480,190078976,190078976,unavailable,190078976,190078976,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,32,1,23201.900,23201.900,175763456,175779840,unavailable,188436480,190078976,190078976,unavailable,190078976,190078976,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,33,1,23144.400,23144.400,175779840,175796224,unavailable,188436480,190078976,190078976,unavailable,190078976,190078976,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,34,1,23187.200,23187.200,175796224,175792128,unavailable,188436480,190078976,190078976,unavailable,190078976,190078976,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,35,1,23178.200,23178.200,175792128,175792128,unavailable,188436480,190078976,190078976,unavailable,190078976,190078976,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,36,1,23010.500,23010.500,175792128,175792128,unavailable,188436480,190078976,190078976,unavailable,190078976,190078976,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,37,1,22970.700,22970.700,175792128,175783936,unavailable,188436480,190078976,190078976,unavailable,190078976,190078976,204468224
