"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","298.859","340.327","377.608","377.608","15679488","15855616","5275648","6733824"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1190.230","1317.680","1376.430","1376.430","16261120","17231872","6033408","7573504"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","15.400","16.733","35.633","35.633","12414976","13901824","4988928","6733824"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","20.900","22.400","52.000","52.000","12103680","13733888","4677632","6733824"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","17.450","18.400","21.050","21.050","12251136","13901824","4808704","6733824"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","665.727","693.222","761.356","761.356","16846848","17231872","5873664","7094272"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","173.762","191.812","198.975","198.975","13303808","13901824","4972544","6733824"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","832.090","839.230","899.890","899.890","16072704","17231872","6193152","7639040"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","26019.700","30844.500","32494.300","32494.300","10686464","13733888","3584000","6733824"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","25061.500","50213.700","50213.700","50213.700","10989568","13504512","3780608","6246400"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","571.684","615.678","787.354","787.354","179548160","185749504","193921024","201986048"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","454.040","461.300","514.520","514.520","182427648","185749504","196558848","201986048"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","24.233","25.200","26.233","26.233","177664000","185749504","191873024","201986048"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","55.100","58.800","60.200","60.200","176140288","185749504","190291968","201986048"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","42.450","44.650","54.200","54.200","176844800","185749504","191082496","201986048"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","1017.522","1119.595","1132.959","1132.959","180957184","185749504","194977792","201986048"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","44.300","46.113","46.913","46.913","178286592","185749504","192499712","201986048"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","469.340","482.040","489.970","489.970","183185408","185749504","197357568","201986048"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","22468.400","23608.700","24738.100","24738.100","175968256","185749504","190291968","201986048"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","22428.100","2747503.400","2747503.400","2747503.400","175198208","185749504","190156800","201986048"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","80","4880","315.356","332.200","335.175","335.175","79953920","510672896","35733504","541474816"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","60","60","35364.100","35979.200","36298.700","36298.700","61263872","510672896","29646848","541474816"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","34732.800","151733.600","151733.600","151733.600","78147584","510672896","34029568","541474816"
