"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","297.286","308.038","327.035","327.035","15708160","15949824","5320704","6668288"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1187.710","1202.550","1260.690","1260.690","16236544","17252352","6217728","7581696"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","15.033","17.600","38.900","38.900","12570624","13869056","5361664","6524928"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","20.500","22.800","26.100","26.100","11833344","13656064","4374528","6524928"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","17.250","18.100","19.800","19.800","12279808","13860864","4841472","6524928"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","661.529","685.502","716.507","716.507","16932864","17252352","6057984","7110656"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","170.312","179.463","185.600","185.600","13557760","13881344","5242880","6594560"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","829.540","839.260","843.760","843.760","16060416","17252352","6144000","7581696"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","28112.700","31778.100","33657.400","33657.400","10588160","13656064","3457024","6524928"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","26943.900","50150.800","50150.800","50150.800","10981376","13479936","3825664","6246400"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","1373.249","1418.522","1570.262","1570.262","103174144","113192960","60084224","74735616"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","486.720","509.910","580.360","580.360","105771008","113192960","62926848","74735616"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","24.800","25.733","26.467","26.467","101109760","113192960","58081280","74735616"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","56.200","60.500","71.400","71.400","99713024","113192960","56799232","74735616"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","43.050","45.400","54.600","54.600","100929536","113192960","58085376","74735616"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","2134.766","2185.895","2300.015","2300.015","104607744","113192960","61116416","74735616"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","44.587","45.587","46.700","46.700","101814272","113192960","59064320","74735616"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","503.370","510.910","515.540","515.540","106868736","113192960","63725568","74735616"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","23544.800","24778.700","25213.700","25213.700","95825920","113192960","53448704","74735616"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","24049.100","195553.700","195553.700","195553.700","96448512","113192960","53473280","74735616"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","80","4880","322.497","332.779","337.051","337.051","79822848","511668224","35479552","543133696"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","60","60","36441.900","38246.100","51448.300","51448.300","60592128","511668224","29024256","543133696"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","35720.100","185293.000","185293.000","185293.000","78000128","511668224","34054144","543133696"
