"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","294.016","302.797","315.292","315.292","15663104","15851520","5234688","6615040"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1205.620","1238.280","1270.580","1270.580","16150528","17117184","6004736","7589888"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","15.100","16.700","33.100","33.100","12374016","13905920","5292032","6610944"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","20.600","23.200","57.800","57.800","12222464","13631488","5353472","6541312"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","17.150","19.300","47.100","47.100","12382208","13905920","5091328","6610944"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","668.298","684.012","765.234","765.234","16891904","17117184","5943296","7114752"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","169.125","173.825","184.750","184.750","13381632","13905920","5042176","6610944"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","837.960","843.250","845.160","845.160","16257024","17117184","6537216","7589888"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","23864.300","28611.400","32417.600","32417.600","10711040","13619200","3620864","6541312"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","24571.300","45433.300","45433.300","45433.300","10973184","13451264","3780608","6193152"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","586.165","638.516","665.373","665.373","179933184","185511936","194076672","201695232"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","475.690","484.600","501.210","501.210","181932032","185511936","195878912","201695232"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","24.900","25.767","27.433","27.433","177586176","185511936","191836160","201695232"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","56.700","61.100","62.200","62.200","176312320","185511936","190414848","201695232"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","43.550","45.550","46.750","46.750","176947200","185511936","191041536","201695232"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","1034.241","1188.447","1430.283","1430.283","180682752","185511936","194703360","201695232"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","45.550","47.312","52.462","52.462","178302976","185511936","192507904","201695232"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","485.190","495.510","497.140","497.140","183296000","185511936","197771264","201695232"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","23154.800","24941.600","25618.000","25618.000","175529984","185511936","189726720","201695232"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","23308.800","2880309.900","2880309.900","2880309.900","174555136","185511936","189124608","201695232"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","80","4880","316.341","328.430","336.893","336.893","79859712","510939136","35663872","541810688"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","60","60","35689.900","36473.200","36948.400","36948.400","60792832","510939136","29167616","541810688"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","35179.900","152533.300","152533.300","152533.300","78110720","510939136","34156544","541810688"
