"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes","before_private_bytes","after_ready_private_bytes","after_finalize_private_bytes","private_bytes","pagefile_bytes","peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","40728.300","40728.300","7032832","10563584","9900032","11636736","1617920","3428352","3162112","3428352","3428352","5648384"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","25569.700","25569.700","9900032","10895360","10027008","13357056","3162112","3690496","2662400","3690496","3690496","6074368"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","2","1","21759.800","21759.800","10027008","10899456","10092544","13357056","2662400","3825664","2760704","3825664","3825664","6074368"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","1","22151.500","22151.500","10092544","10989568","10190848","13357056","2760704","3825664","3063808","3825664","3825664","6074368"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","4","1","22753.900","22753.900","10190848","10985472","10108928","13443072","3063808","3788800","3084288","3788800","3788800","6201344"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","1","25103.500","25103.500","10108928","10977280","10125312","13471744","3084288","3825664","2994176","3825664","3825664","6270976"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","6","1","22239.400","22239.400","10125312","10981376","10190848","13471744","2994176","3796992","3309568","3796992","3796992","6270976"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","7","1","22467.900","22467.900","10190848","10977280","10186752","13471744","3309568","3796992","3350528","3796992","3796992","6270976"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","8","1","22208.600","22208.600","10186752","10985472","10121216","13471744","3350528","3756032","2809856","3756032","3756032","6270976"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","0","1","24357.200","24357.200","10125312","10358784","unavailable","13471744","2813952","3055616","unavailable","3055616","3055616","6270976"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","26731.000","26731.000","10358784","10342400","unavailable","13471744","3055616","3039232","unavailable","3039232","3039232","6270976"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","2","1","24746.900","24746.900","10342400","10330112","unavailable","13471744","3039232","3014656","unavailable","3014656","3014656","6270976"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","3","1","22333.000","22333.000","10330112","10317824","unavailable","13471744","3014656","3006464","unavailable","3006464","3006464","6270976"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","4","1","23590.400","23590.400","10317824","10461184","unavailable","13508608","3006464","3551232","unavailable","3551232","3551232","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","5","1","22585.000","22585.000","10461184","10465280","unavailable","13545472","3551232","3276800","unavailable","3276800","3276800","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","6","1","23649.200","23649.200","10465280","10387456","unavailable","13545472","3276800","3067904","unavailable","3067904","3067904","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","7","1","25313.800","25313.800","10387456","10452992","unavailable","13545472","3067904","3407872","unavailable","3407872","3407872","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","8","1","25721.300","25721.300","10461184","10502144","unavailable","13545472","3420160","3325952","unavailable","3325952","3325952","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","9","1","21852.800","21852.800","10502144","10452992","unavailable","13545472","3325952","3211264","unavailable","3211264","3211264","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","10","1","22846.000","22846.000","10452992","10633216","unavailable","13545472","3211264","3796992","unavailable","3796992","3796992","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","11","1","22099.500","22099.500","10633216","10469376","unavailable","13545472","3796992","3158016","unavailable","3158016","3158016","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","12","1","22203.700","22203.700","10473472","10547200","unavailable","13545472","3158016","3641344","unavailable","3641344","3641344","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","13","1","22139.200","22139.200","10547200","10579968","unavailable","13570048","3641344","3551232","unavailable","3551232","3551232","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","14","1","24861.100","24861.100","10579968","10608640","unavailable","13570048","3551232","4014080","unavailable","4014080","4014080","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","15","1","22385.100","22385.100","10608640","10686464","unavailable","13570048","4014080","3653632","unavailable","3653632","3653632","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","16","1","28056.400","28056.400","10686464","10670080","unavailable","13570048","3653632","3653632","unavailable","3653632","3653632","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","17","1","22515.400","22515.400","10670080","10612736","unavailable","13570048","3653632","3309568","unavailable","3309568","3309568","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","18","1","25042.800","25042.800","10612736","10760192","unavailable","13570048","3309568","3715072","unavailable","3715072","3715072","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","19","1","25677.800","25677.800","10760192","10653696","unavailable","13570048","3715072","3481600","unavailable","3481600","3481600","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","1","28391.100","28391.100","10653696","10674176","unavailable","13570048","3481600","3657728","unavailable","3657728","3657728","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","21","1","24858.000","24858.000","10674176","10674176","unavailable","13570048","3657728","3665920","unavailable","3665920","3665920","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","22","1","25044.900","25044.900","10674176","10678272","unavailable","13570048","3665920","3371008","unavailable","3371008","3371008","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","23","1","28644.500","28644.500","10678272","10682368","unavailable","13570048","3371008","3833856","unavailable","3833856","3833856","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","24","1","26826.600","26826.600","10698752","10665984","unavailable","13570048","3862528","3543040","unavailable","3543040","3543040","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","25","1","23269.800","23269.800","10665984","10702848","unavailable","13570048","3543040","3682304","unavailable","3682304","3682304","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","26","1","23010.900","23010.900","10702848","10739712","unavailable","13570048","3682304","3731456","unavailable","3731456","3731456","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","27","1","26795.700","26795.700","10743808","10690560","unavailable","13570048","3731456","3633152","unavailable","3633152","3633152","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","28","1","23672.900","23672.900","10690560","10686464","unavailable","13570048","3633152","3653632","unavailable","3653632","3653632","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","29","1","24446.900","24446.900","10686464","10604544","unavailable","13570048","3653632","3313664","unavailable","3313664","3313664","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","30","1","24397.500","24397.500","10604544","10821632","unavailable","13570048","3313664","3805184","unavailable","3805184","3805184","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","31","1","27293.200","27293.200","10821632","10694656","unavailable","13570048","3805184","3682304","unavailable","3682304","3682304","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","32","1","24088.900","24088.900","10694656","10747904","unavailable","13570048","3682304","3710976","unavailable","3710976","3710976","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","33","1","22824.600","22824.600","10747904","10772480","unavailable","13570048","3710976","3698688","unavailable","3698688","3698688","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","34","1","27794.500","27794.500","10772480","10838016","unavailable","13570048","3698688","3747840","unavailable","3747840","3747840","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","35","1","27368.300","27368.300","10838016","10719232","unavailable","13574144","3747840","3432448","unavailable","3432448","3432448","6483968"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","36","1","23311.400","23311.400","10723328","10743808","unavailable","13574144","3432448","3670016","unavailable","3670016","3670016","6483968"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","37","1","23315.700","23315.700","10743808","10797056","unavailable","13578240","3670016","3989504","unavailable","3989504","3989504","6483968"
