engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,0,1,156122.000,156122.000,8482816,76390400,58990592,510676992,4747264,32403456,27385856,32403456,32403456,541429760
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,1,1,35677.400,35677.400,59015168,77332480,59080704,510676992,27385856,33382400,28622848,33382400,33382400,541429760
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,2,1,34842.800,34842.800,59080704,77418496,59035648,510676992,28626944,34623488,27373568,34623488,34623488,541429760
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,3,1,34588.800,34588.800,59064320,77422592,59150336,510676992,27414528,33452032,27512832,33452032,33452032,541429760
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,4,1,34639.900,34639.900,59154432,77459456,59158528,510676992,27529216,33452032,27508736,33452032,33452032,541429760
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,5,1,34891.900,34891.900,59162624,77467648,59166720,510676992,27598848,33452032,27516928,33452032,33452032,541429760
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,6,1,35259.800,35259.800,59170816,77463552,59158528,510676992,27516928,33452032,27496448,33452032,33452032,541429760
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,7,1,34807.300,34807.300,59199488,77508608,59211776,510676992,27586560,33595392,27598848,33595392,33595392,541429760
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,8,1,35775.200,35775.200,59215872,77492224,59121664,510676992,27598848,33595392,27492352,33595392,33595392,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,0,1,35695.400,35695.400,59133952,59219968,unavailable,510676992,27557888,27586560,unavailable,27586560,27586560,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,1,1,36354.900,36354.900,59224064,59224064,unavailable,510676992,27586560,27590656,unavailable,27590656,27590656,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,2,1,36822.300,36822.300,59228160,59277312,unavailable,510676992,27590656,27627520,unavailable,27627520,27627520,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,3,1,36534.900,36534.900,59281408,59207680,unavailable,510676992,27627520,27561984,unavailable,27561984,27561984,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,4,1,36578.700,36578.700,59211776,59281408,unavailable,510676992,27561984,27631616,unavailable,27631616,27631616,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,5,1,36042.300,36042.300,59285504,59269120,unavailable,510676992,27631616,27693056,unavailable,27693056,27693056,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,6,1,36286.700,36286.700,59269120,59297792,unavailable,510676992,27693056,27947008,unavailable,27947008,27947008,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,7,1,35819.800,35819.800,59305984,59351040,unavailable,510676992,28016640,28086272,unavailable,28086272,28086272,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,8,1,35623.200,35623.200,59359232,59351040,unavailable,510676992,28094464,27758592,unavailable,27758592,27758592,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,9,1,35863.400,35863.400,59359232,59351040,unavailable,510676992,27758592,27754496,unavailable,27754496,27754496,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,10,1,35582.600,35582.600,59355136,59375616,unavailable,510676992,27754496,27758592,unavailable,27758592,27758592,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,11,1,35741.500,35741.500,59379712,59371520,unavailable,510676992,27758592,27901952,unavailable,27901952,27901952,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,12,1,36201.100,36201.100,59375616,59375616,unavailable,510676992,27901952,27869184,unavailable,27869184,27869184,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,13,1,35966.600,35966.600,59379712,59375616,unavailable,510676992,27869184,27754496,unavailable,27754496,27754496,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,14,1,36142.200,36142.200,59379712,59432960,unavailable,510676992,27754496,27815936,unavailable,27815936,27815936,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,15,1,35718.600,35718.600,59437056,59379712,unavailable,510676992,27815936,27852800,unavailable,27852800,27852800,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,16,1,35428.700,35428.700,59379712,59420672,unavailable,510676992,27852800,27770880,unavailable,27770880,27770880,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,17,1,36335.700,36335.700,59424768,59457536,unavailable,510676992,27770880,27811840,unavailable,27811840,27811840,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,18,1,35355.400,35355.400,59461632,59469824,unavailable,510676992,27811840,27934720,unavailable,27934720,27934720,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,19,1,35544.200,35544.200,59473920,59482112,unavailable,510676992,27934720,27828224,unavailable,27828224,27828224,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,20,1,36083.800,36083.800,59486208,59539456,unavailable,510676992,27828224,27910144,unavailable,27910144,27910144,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,21,1,35833.900,35833.900,59543552,59531264,unavailable,510676992,27910144,27897856,unavailable,27897856,27897856,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,22,1,35329.600,35329.600,59535360,59596800,unavailable,510676992,27897856,28000256,unavailable,28000256,28000256,541429760
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,23,1,35164.900,35164.900,59600896,59551744,unavailable,510676992,28000256,27975680,unavailable,27975680,27975680,541429760
