"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes","before_private_bytes","after_ready_private_bytes","after_finalize_private_bytes","private_bytes","pagefile_bytes","peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","48466.400","48466.400","7262208","11055104","10428416","11993088","1609728","3395584","2572288","3395584","3395584","5640192"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","66306.300","66306.300","10428416","11423744","10539008","13864960","2572288","3633152","2629632","3633152","3633152","6033408"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","2","1","28254.000","28254.000","10539008","11423744","10539008","13869056","2629632","3624960","2629632","3624960","3624960","6033408"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","1","69676.600","69676.600","10539008","11526144","10711040","13893632","2752512","3837952","3059712","3837952","3837952","6103040"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","4","1","30468.600","30468.600","10711040","11513856","10694656","13983744","3059712","3813376","3133440","3813376","3813376","6180864"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","1","67505.400","67505.400","10694656","11530240","10661888","14000128","3133440","3784704","2768896","3784704","3784704","6209536"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","6","1","27640.600","27640.600","10661888","11542528","10481664","14024704","2768896","3768320","2576384","3768320","3768320","6209536"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","7","1","72126.500","72126.500","10481664","11583488","10534912","14024704","2772992","3784704","2609152","3784704","3784704","6209536"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","8","1","24799.000","24799.000","10534912","11583488","10547200","14024704","2609152","3821568","2621440","3821568","3821568","6209536"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","0","1","46276.700","46276.700","10551296","10768384","unavailable","14036992","2633728","3076096","unavailable","3076096","3076096","6209536"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","26942.100","26942.100","10768384","10919936","unavailable","14036992","3076096","3784704","unavailable","3784704","3784704","6209536"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","2","1","47368.500","47368.500","10919936","10911744","unavailable","14086144","3784704","2994176","unavailable","2994176","2994176","6279168"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","3","1","27806.200","27806.200","10911744","10924032","unavailable","14086144","2994176","3006464","unavailable","3006464","3006464","6279168"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","4","1","47163.000","47163.000","10924032","10924032","unavailable","14086144","3006464","3010560","unavailable","3010560","3010560","6279168"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","5","1","28639.200","28639.200","10924032","11034624","unavailable","14086144","3010560","3452928","unavailable","3452928","3452928","6279168"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","6","1","50536.600","50536.600","11034624","11042816","unavailable","14086144","3452928","3760128","unavailable","3760128","3760128","6279168"
