"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","1095.095","298.930","3.663","796.165","188510208","16281600","193642496","5087232"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","724.840","1195.190","0.606","-470.350","188510208","17731584","196419584","6266880"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","23.933","11.967","2.000","11.966","188510208","14426112","191741952","4861952"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","57.400","21.200","2.708","36.200","188510208","14262272","190156800","4644864"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","42.950","14.750","2.912","28.200","188510208","14356480","190947328","4571136"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","2025.159","671.285","3.017","1353.874","188510208","17731584","194834432","5787648"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","44.087","166.350","0.265","-122.263","188510208","14475264","193024000","4943872"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","760.240","831.840","0.914","-71.600","188510208","17731584","196964352","6156288"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","22701.300","22222.900","1.022","478.400","188510208","14262272","189186048","3305472"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","22633.500","24282.400","0.932","-1648.900","188510208","13901824","189181952","3796992"
