"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","298.930","304.741","326.105","326.105","16117760","16281600","5087232","6594560"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1195.190","1203.390","1261.620","1261.620","16814080","17731584","6266880","7426048"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","11.967","14.733","22.667","22.667","12877824","14426112","4861952","6385664"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","21.200","26.000","71.900","71.900","12636160","14262272","4644864","6385664"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","14.750","20.800","42.850","42.850","12709888","14356480","4571136","6385664"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","671.285","683.124","701.254","701.254","17408000","17731584","5787648","6950912"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","166.350","177.775","228.250","228.250","13844480","14475264","4943872","6455296"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","831.840","839.380","874.160","874.160","16674816","17731584","6156288","7426048"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","22222.900","27546.200","29740.400","29740.400","11165696","14262272","3305472","6385664"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","24282.400","92613.900","92613.900","92613.900","11558912","13901824","3796992","6062080"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","1095.095","1177.008","1228.497","1228.497","179204096","188510208","193642496","204566528"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","724.840","741.850","759.690","759.690","182022144","188510208","196419584","204566528"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","23.933","27.267","28.333","28.333","177426432","188510208","191741952","204566528"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","57.400","67.200","71.500","71.500","176037888","188510208","190156800","204566528"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","42.950","48.850","51.800","51.800","176693248","188510208","190947328","204566528"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","2025.159","2109.885","2228.717","2228.717","180596736","188510208","194834432","204566528"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","44.087","46.162","51.812","51.812","178343936","188510208","193024000","204566528"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","760.240","772.240","805.650","805.650","182878208","188510208","196964352","204566528"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","22701.300","22948.900","23024.400","23024.400","174931968","188510208","189186048","204566528"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","22633.500","2804491.600","2804491.600","2804491.600","174518272","188510208","189181952","204566528"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","80","4880","340.510","357.511","371.593","371.593","253308928","512778240","182140928","544321536"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","60","60","99246.200","100237.200","100720.800","100720.800","224194560","512778240","177098752","544321536"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","97911.700","620935.000","620935.000","620935.000","252514304","512778240","181854208","544321536"
