engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,0,1,620935.000,620935.000,10162176,252387328,223866880,512778240,6299648,181850112,176824320,181850112,181850112,544321536
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,1,1,97549.700,97549.700,223899648,252510208,223899648,512778240,176824320,181850112,176824320,181850112,181850112,544321536
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,2,1,97440.900,97440.900,223899648,252510208,223899648,512778240,176824320,181850112,176824320,181850112,181850112,544321536
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,3,1,97638.700,97638.700,223899648,252514304,223903744,512778240,176824320,181854208,176828416,181854208,181854208,544321536
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,4,1,97938.700,97938.700,223903744,252514304,223903744,512778240,176828416,181854208,176828416,181854208,181854208,544321536
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,5,1,98040.500,98040.500,223903744,252518400,223907840,512778240,176828416,181854208,176828416,181854208,181854208,544321536
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,6,1,98052.400,98052.400,223907840,252518400,223907840,512778240,176828416,181854208,176828416,181854208,181854208,544321536
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,7,1,97825.600,97825.600,223907840,252518400,223907840,512778240,176828416,181854208,176828416,181854208,181854208,544321536
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,8,1,97911.700,97911.700,223907840,252518400,223907840,512778240,176828416,181854208,176828416,181854208,181854208,544321536
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,0,1,100041.300,100041.300,223907840,223907840,unavailable,512778240,176828416,176828416,unavailable,176828416,176828416,544321536
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,1,1,100282.700,100282.700,223907840,223907840,unavailable,512778240,176828416,176828416,unavailable,176828416,176828416,544321536
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,2,1,98919.900,98919.900,223907840,223911936,unavailable,512778240,176828416,176828416,unavailable,176828416,176828416,544321536
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,3,1,99647.400,99647.400,223911936,223911936,unavailable,512778240,176828416,176828416,unavailable,176828416,176828416,544321536
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,4,1,99305.200,99305.200,223911936,223911936,unavailable,512778240,176828416,176828416,unavailable,176828416,176828416,544321536
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,5,1,99585.900,99585.900,223911936,223911936,unavailable,512778240,176828416,176828416,unavailable,176828416,176828416,544321536
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,6,1,99686.500,99686.500,223911936,223911936,unavailable,512778240,176828416,176828416,unavailable,176828416,176828416,544321536
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,7,1,99675.600,99675.600,223911936,223911936,unavailable,512778240,176828416,176828416,unavailable,176828416,176828416,544321536
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,8,1,100085.300,100085.300,223911936,223911936,unavailable,512778240,176828416,176828416,unavailable,176828416,176828416,544321536
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,9,1,100067.600,100067.600,223911936,223911936,unavailable,512778240,176828416,176828416,unavailable,176828416,176828416,544321536
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,10,1,99387.900,99387.900,223911936,223911936,unavailable,512778240,176828416,176828416,unavailable,176828416,176828416,544321536
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,11,1,100720.800,100720.800,223916032,223916032,unavailable,512778240,176828416,176828416,unavailable,176828416,176828416,544321536
