"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","876.135","294.081","2.979","582.054","189665280","16424960","194965504","5296128"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","531.630","1200.370","0.443","-668.740","189665280","17793024","197611520","6193152"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","24.100","11.533","2.090","12.567","189665280","14450688","193044480","4808704"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","57.400","20.900","2.746","36.500","189665280","14245888","191459328","5038080"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","43.250","14.600","2.962","28.650","189665280","14450688","192253952","5074944"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","1554.429","669.656","2.321","884.773","189665280","17793024","195756032","5853184"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","44.600","168.750","0.264","-124.150","189665280","14553088","193269760","5103616"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","537.750","837.780","0.642","-300.030","189665280","17793024","198406144","6795264"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","23120.800","24331.100","0.950","-1210.300","189665280","14209024","190668800","3506176"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","23390.100","23724.100","0.986","-334.000","189665280","14061568","190664704","3792896"
