"track","schema_id","workload","input","metric","min","median","max","spread_pct"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","librime_median_us","293.459","296.562","296.562","1.04632420876579"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","yune_librime_median_ratio","3.623","3.785","3.785","4.28005284015852"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","yune_max_peak_working_set_bytes","188596224","189558784","189558784","0.507789710235744"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","yune_median_private_bytes","193527808","193970176","193970176","0.228059802348171"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","yune_median_us","1074.357","1110.838","1110.838","3.2840972310994"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","librime_median_us","1210.66","1237.49","1237.49","2.16809832806729"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","yune_librime_median_ratio","0.581","0.603","0.603","3.64842454394694"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","yune_max_peak_working_set_bytes","188596224","189558784","189558784","0.507789710235744"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","yune_median_private_bytes","195588096","196673536","196673536","0.551899366877707"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","yune_median_us","717.39","739.02","739.02","2.92684907039052"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","librime_median_us","11.533","11.8","11.8","2.26271186440679"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","yune_librime_median_ratio","2.089","2.119","2.119","1.41576215195848"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","yune_max_peak_working_set_bytes","188596224","189558784","189558784","0.507789710235744"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","yune_median_private_bytes","191737856","192385024","192385024","0.336392088398731"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","yune_median_us","24.167","24.7","24.7","2.1578947368421"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","librime_median_us","20.6","21.1","21.1","2.3696682464455"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","yune_librime_median_ratio","2.81","2.864","2.864","1.88547486033519"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","yune_max_peak_working_set_bytes","188596224","189558784","189558784","0.507789710235744"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","yune_median_private_bytes","190361600","190943232","190943232","0.304609906257374"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","yune_median_us","58.8","59.3","59.3","0.843170320404722"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","librime_median_us","14.25","14.4","14.4","1.04166666666667"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","yune_librime_median_ratio","3.042","3.088","3.088","1.48963730569949"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","yune_max_peak_working_set_bytes","188596224","189558784","189558784","0.507789710235744"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","yune_median_private_bytes","190943232","191594496","191594496","0.339917906618779"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","yune_median_us","43.75","44","44","0.568181818181818"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","librime_median_us","662.541","683.551","683.551","3.07365507474936"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","yune_librime_median_ratio","2.723","2.881","2.881","5.48420687261367"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","yune_max_peak_working_set_bytes","188596224","189558784","189558784","0.507789710235744"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","yune_median_private_bytes","194240512","195112960","195112960","0.447150204681432"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","yune_median_us","1861.454","1962.358","1962.358","5.14197715197737"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","librime_median_us","167.562","169.062","169.062","0.887248465060155"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","yune_librime_median_ratio","0.263","0.267","0.267","1.49812734082397"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","yune_max_peak_working_set_bytes","188596224","189558784","189558784","0.507789710235744"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","yune_median_private_bytes","192737280","193175552","193175552","0.226877570925745"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","yune_median_us","44.425","44.787","44.787","0.808270256994221"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","librime_median_us","858.41","861.3","861.3","0.335539301056541"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","yune_librime_median_ratio","0.883","0.915","0.915","3.49726775956284"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","yune_max_peak_working_set_bytes","188596224","189558784","189558784","0.507789710235744"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","yune_median_private_bytes","196780032","197210112","197210112","0.218082123496791"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","yune_median_us","760.29","785.44","785.44","3.20202688938685"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","librime_median_us","22711.7","42838.9","42838.9","46.9834659620112"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","yune_librime_median_ratio","0.546","1.049","1.049","47.9504289799809"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","yune_max_peak_working_set_bytes","188596224","189558784","189558784","0.507789710235744"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","yune_median_private_bytes","189214720","190361600","190361600","0.602474448628295"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","yune_median_us","23408.4","23826.7","23826.7","1.75559351483839"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","librime_median_us","24420","44060.2","44060.2","44.575830341215"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","yune_librime_median_ratio","0.538","0.975","0.975","44.8205128205128"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","yune_max_peak_working_set_bytes","188596224","189558784","189558784","0.507789710235744"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","yune_median_private_bytes","189087744","190357504","190357504","0.667039635064767"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","yune_median_us","23414.8","23815.4","23815.4","1.68210485652142"
"track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","max_peak_working_set_bytes","512368640","512819200","512819200","0.0878594249201278"
"track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","median_private_bytes","179347456","181039104","181039104","0.934410280775583"
"track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","median_us","330.279","334.252","334.252","1.18862415183754"
"track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","median_working_set_bytes","252334080","253304832","253304832","0.383234694867566"
"track-b-product","jyut6ping3_mobile","session_create_select_destroy","","max_peak_working_set_bytes","512368640","512819200","512819200","0.0878594249201278"
"track-b-product","jyut6ping3_mobile","session_create_select_destroy","","median_private_bytes","174321664","176017408","176017408","0.963395620505899"
"track-b-product","jyut6ping3_mobile","session_create_select_destroy","","median_us","98726.7","100539.8","100539.8","1.80336543339056"
"track-b-product","jyut6ping3_mobile","session_create_select_destroy","","median_working_set_bytes","223137792","224243712","224243712","0.493177708367582"
"track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","max_peak_working_set_bytes","512368640","512819200","512819200","0.0878594249201278"
"track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","median_private_bytes","179343360","181039104","181039104","0.936672775402158"
"track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","median_us","96782","99104.7","99104.7","2.34368299384388"
"track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","median_working_set_bytes","251707392","252837888","252837888","0.447122861586314"
