engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,0,1,602958.300,602958.300,9904128,252694528,224174080,512819200,7143424,181002240,176013312,181002240,181002240,544043008
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,1,1,97126.400,97126.400,224206848,252833792,224223232,512819200,176013312,181039104,176017408,181039104,181039104,544043008
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,2,1,98533.400,98533.400,224223232,252837888,224227328,512819200,176017408,181039104,176017408,181039104,181039104,544043008
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,3,1,95510.900,95510.900,224227328,252837888,224227328,512819200,176017408,181039104,176017408,181039104,181039104,544043008
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,4,1,95402.200,95402.200,224227328,252837888,224227328,512819200,176017408,181039104,176017408,181039104,181039104,544043008
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,5,1,96782.000,96782.000,224227328,252837888,224227328,512819200,176017408,181039104,176017408,181039104,181039104,544043008
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,6,1,96285.600,96285.600,224227328,252837888,224227328,512819200,176017408,181039104,176017408,181039104,181039104,544043008
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,7,1,95977.600,95977.600,224227328,252837888,224227328,512819200,176017408,181039104,176017408,181039104,181039104,544043008
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,8,1,96907.400,96907.400,224227328,252837888,224227328,512819200,176017408,181039104,176017408,181039104,181039104,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,0,1,99695.200,99695.200,224227328,224227328,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,1,1,98726.700,98726.700,224231424,224231424,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,2,1,98803.400,98803.400,224231424,224231424,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,3,1,98442.900,98442.900,224235520,224235520,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,4,1,97805.400,97805.400,224235520,224235520,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,5,1,98497.400,98497.400,224235520,224235520,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,6,1,99358.300,99358.300,224235520,224235520,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,7,1,97835.500,97835.500,224239616,224239616,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,8,1,98264.900,98264.900,224239616,224239616,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,9,1,98017.800,98017.800,224239616,224239616,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,10,1,98502.000,98502.000,224239616,224239616,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,11,1,98991.300,98991.300,224239616,224239616,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,12,1,99561.800,99561.800,224239616,224239616,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,13,1,101312.600,101312.600,224239616,224239616,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,14,1,98439.800,98439.800,224239616,224239616,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,15,1,98983.900,98983.900,224239616,224239616,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,16,1,99469.600,99469.600,224239616,224239616,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,17,1,100018.700,100018.700,224243712,224243712,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,18,1,101176.000,101176.000,224243712,224243712,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,19,1,98514.000,98514.000,224243712,224243712,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,20,1,98363.500,98363.500,224243712,224243712,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,21,1,98012.200,98012.200,224243712,224243712,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,22,1,97669.900,97669.900,224243712,224243712,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,23,1,97224.800,97224.800,224243712,224243712,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,24,1,98243.500,98243.500,224243712,224243712,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,25,1,98374.900,98374.900,224243712,224243712,unavailable,512819200,176017408,176017408,unavailable,176017408,176017408,544043008
