"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","296.562","302.141","316.303","316.303","16007168","16478208","4935680","6598656"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1237.490","1262.240","1372.210","1372.210","16859136","18227200","6123520","7495680"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","11.533","14.767","35.433","35.433","12611584","14434304","4579328","6529024"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","20.800","40.700","64.100","64.100","12427264","14184448","4435968","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","14.300","16.250","28.450","28.450","12562432","14434304","4579328","6524928"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","681.059","694.227","699.792","699.792","17735680","18046976","6266880","6766592"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","168.487","178.525","182.362","182.362","13713408","14434304","4784128","6529024"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","858.410","880.240","922.390","922.390","16793600","18227200","6221824","7557120"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","42838.900","69790.500","75078.100","75078.100","11137024","14184448","3354624","6418432"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","44060.200","86834.600","86834.600","86834.600","11526144","14016512","3792896","6213632"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","1074.357","1126.681","1157.865","1157.865","179548160","188596224","193753088","204513280"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","739.020","754.180","759.240","759.240","181727232","188596224","195588096","204513280"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","24.433","27.067","30.167","30.167","177811456","188596224","191737856","204513280"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","58.800","68.000","76.700","76.700","177078272","188596224","190943232","204513280"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","43.750","48.250","52.550","52.550","177152000","188596224","190943232","204513280"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","1962.358","2181.737","2378.097","2378.097","180412416","188596224","194240512","204513280"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","44.787","46.450","52.050","52.050","178778112","188596224","193155072","204513280"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","785.440","884.270","894.320","894.320","183009280","188596224","196780032","204513280"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","23408.400","24001.600","24344.400","24344.400","176209920","188596224","190152704","204513280"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","23688.300","2973505.200","2973505.200","2973505.200","175460352","188596224","189972480","204513280"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","80","4880","333.292","349.864","371.638","371.638","252334080","512466944","179761152","543887360"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","60","60","100539.800","102459.300","102660.400","102660.400","223137792","512466944","174718976","543887360"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","99104.700","628028.500","628028.500","628028.500","251707392","512466944","179740672","543887360"
