engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2905730.900,2905730.900,4132864,173985792,174104576,188801024,679936,189227008,189227008,189227008,189227008,204894208
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,23857.600,23857.600,174137344,175230976,173981696,188801024,189227008,190181376,188596224,190181376,190181376,204894208
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,23815.400,23815.400,173985792,175329280,174088192,188801024,188596224,190181376,188776448,190181376,190181376,204894208
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,24049.500,24049.500,174088192,175542272,175542272,188801024,188776448,190357504,190357504,190357504,190357504,204894208
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,23846.300,23846.300,175542272,175677440,175677440,188801024,190357504,190357504,190357504,190357504,190357504,204894208
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,23703.300,23703.300,175677440,175665152,175665152,188801024,190357504,190357504,190357504,190357504,190357504,204894208
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,23714.900,23714.900,175669248,175800320,175800320,188801024,190357504,190357504,190357504,190357504,190357504,204894208
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,23634.500,23634.500,175800320,175816704,175816704,188801024,190357504,190357504,190357504,190357504,190357504,204894208
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,23631.900,23631.900,175816704,175820800,175820800,188801024,190357504,190357504,190357504,190357504,190357504,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,23747.500,23747.500,175820800,175816704,unavailable,188801024,190357504,190357504,unavailable,190357504,190357504,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,24093.100,24093.100,175816704,175845376,unavailable,188801024,190357504,190357504,unavailable,190357504,190357504,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,23637.500,23637.500,175845376,175849472,unavailable,188801024,190357504,190357504,unavailable,190357504,190357504,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,23939.300,23939.300,175849472,175853568,unavailable,188801024,190357504,190357504,unavailable,190357504,190357504,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,23962.300,23962.300,175853568,175853568,unavailable,188801024,190357504,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,23928.800,23928.800,175861760,175861760,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,24036.600,24036.600,175861760,175878144,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,23838.600,23838.600,175878144,175902720,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,23960.400,23960.400,175902720,175927296,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,24043.400,24043.400,175927296,175923200,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,23717.000,23717.000,175923200,175919104,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,23753.100,23753.100,175919104,175923200,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,23598.100,23598.100,175923200,175906816,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,23799.200,23799.200,175906816,175927296,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,23699.000,23699.000,175927296,175919104,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,24086.100,24086.100,175919104,175935488,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,24071.700,24071.700,175935488,175935488,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,23784.100,23784.100,175935488,175964160,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,23630.800,23630.800,175964160,175980544,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,19,1,23620.800,23620.800,175980544,175980544,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,20,1,23655.900,23655.900,175980544,175976448,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,21,1,23512.800,23512.800,175976448,175968256,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,22,1,23500.200,23500.200,175968256,176005120,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,23,1,23581.000,23581.000,176005120,176066560,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,24,1,23761.200,23761.200,176066560,176062464,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,25,1,23826.700,23826.700,176062464,176087040,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,26,1,23955.700,23955.700,176087040,176103424,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,27,1,24441.100,24441.100,176103424,176095232,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,28,1,23819.400,23819.400,176095232,176091136,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,29,1,24062.900,24062.900,176091136,176095232,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,30,1,24114.400,24114.400,176095232,176095232,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,31,1,23604.200,23604.200,176095232,176119808,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,32,1,23633.600,23633.600,176119808,176132096,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,33,1,23762.000,23762.000,176132096,176123904,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,34,1,23729.100,23729.100,176123904,176119808,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,35,1,24064.300,24064.300,176119808,176119808,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,36,1,24317.000,24317.000,176119808,176115712,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,37,1,23989.300,23989.300,176115712,176115712,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,38,1,24093.500,24093.500,176115712,176132096,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,39,1,24006.000,24006.000,176132096,176123904,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,40,1,24115.200,24115.200,176123904,176107520,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,41,1,24078.100,24078.100,176107520,176115712,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,42,1,24037.800,24037.800,176115712,176111616,unavailable,188801024,190361600,190361600,unavailable,190361600,190361600,204894208
