engine,track,schema_id,workload,input,samples,operations,median_us,p95_us,p99_us,max_us,median_working_set_bytes,max_peak_working_set_bytes,median_private_bytes,max_peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,80,2960,882.303,913.492,925.097,925.097,179781632,188477440,193794048,204464128
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,80,800,523.300,535.980,585.760,585.760,181805056,188477440,195780608,204464128
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,80,240,24.300,27.467,31.467,31.467,177418240,188477440,191524864,204464128
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,80,80,57.600,66.200,69.000,69.000,176156672,188477440,190107648,204464128
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,80,160,43.600,48.250,58.250,58.250,176791552,188477440,190734336,204464128
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,80,4720,1529.939,1633.183,1728.820,1728.820,180891648,188477440,194875392,204464128
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,80,640,44.812,46.875,47.350,47.350,178958336,188477440,193003520,204464128
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zybfshmsru,80,800,533.420,551.170,558.980,558.980,182464512,188477440,196407296,204464128
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,60,60,23212.100,23855.200,23963.400,23963.400,175931392,188477440,190107648,204464128
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,9,9,23497.100,2887559.900,2887559.900,2887559.900,175181824,188477440,189923328,204464128
