engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,53860.200,53860.200,7266304,10973184,10334208,11943936,1605632,3317760,2674688,3317760,3317760,5644288
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,26045.200,26045.200,10338304,11341824,10457088,13770752,2674688,3653632,2760704,3653632,3653632,6049792
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,21909.400,21909.400,10457088,11374592,10477568,13770752,2760704,3661824,2654208,3661824,3661824,6049792
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,22133.900,22133.900,10477568,11390976,10514432,13819904,2654208,3710976,2662400,3710976,3710976,6049792
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,22583.200,22583.200,10514432,11493376,10694656,13873152,2662400,3788800,2875392,3788800,3788800,6119424
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,23159.300,23159.300,10694656,11513856,10649600,13971456,2875392,3813376,2842624,3813376,3813376,6209536
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,21926.400,21926.400,10649600,11505664,10629120,13979648,2842624,3821568,2785280,3821568,3821568,6209536
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,26090.500,26090.500,10629120,11501568,10645504,13979648,2785280,3801088,2842624,3801088,3801088,6209536
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,22205.700,22205.700,10645504,11501568,10715136,13987840,2842624,3866624,2949120,3866624,3866624,6209536
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,21971.200,21971.200,10719232,10899456,unavailable,13987840,2953216,3059712,unavailable,3059712,3059712,6209536
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,27146.600,27146.600,10899456,10981376,unavailable,13987840,3059712,3686400,unavailable,3686400,3686400,6209536
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,22600.700,22600.700,10981376,10878976,unavailable,14012416,3686400,3035136,unavailable,3035136,3035136,6316032
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,23840.000,23840.000,10878976,10887168,unavailable,14012416,3035136,3039232,unavailable,3039232,3039232,6316032
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,21029.000,21029.000,10887168,10989568,unavailable,14012416,3039232,3485696,unavailable,3485696,3485696,6316032
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,21709.000,21709.000,10989568,10973184,unavailable,14012416,3485696,3223552,unavailable,3223552,3223552,6316032
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,29508.800,29508.800,10973184,10989568,unavailable,14012416,3223552,3616768,unavailable,3616768,3616768,6316032
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,27607.900,27607.900,10989568,10981376,unavailable,14012416,3616768,3420160,unavailable,3420160,3420160,6316032
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,31883.500,31883.500,10985472,10907648,unavailable,14012416,3428352,3067904,unavailable,3067904,3067904,6316032
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,21365.300,21365.300,10911744,11034624,unavailable,14041088,3067904,3670016,unavailable,3670016,3670016,6316032
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,27445.300,27445.300,11034624,10973184,unavailable,14041088,3670016,3129344,unavailable,3129344,3129344,6316032
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,20854.300,20854.300,10973184,11051008,unavailable,14041088,3129344,3416064,unavailable,3416064,3416064,6316032
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,25264.000,25264.000,11051008,10928128,unavailable,14041088,3416064,3084288,unavailable,3084288,3084288,6316032
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,24900.600,24900.600,10928128,11030528,unavailable,14041088,3084288,3702784,unavailable,3702784,3702784,6316032
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,27260.300,27260.300,11030528,10919936,unavailable,14041088,3702784,3076096,unavailable,3076096,3076096,6316032
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,22258.900,22258.900,10919936,11165696,unavailable,14041088,3076096,3932160,unavailable,3932160,3932160,6316032
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,22825.500,22825.500,11165696,11091968,unavailable,14053376,3932160,3526656,unavailable,3526656,3526656,6316032
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,22636.100,22636.100,11091968,11022336,unavailable,14053376,3526656,3186688,unavailable,3186688,3186688,6316032
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,27639.700,27639.700,11022336,11116544,unavailable,14053376,3186688,3506176,unavailable,3506176,3506176,6316032
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,19,1,23993.300,23993.300,11116544,11108352,unavailable,14057472,3506176,3338240,unavailable,3338240,3338240,6316032
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,20,1,21576.000,21576.000,11108352,11112448,unavailable,14061568,3338240,3706880,unavailable,3706880,3706880,6381568
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,21,1,21596.700,21596.700,11112448,11100160,unavailable,14069760,3706880,3702784,unavailable,3702784,3702784,6385664
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,22,1,22894.100,22894.100,11100160,11108352,unavailable,14069760,3702784,3473408,unavailable,3473408,3473408,6385664
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,23,1,23973.900,23973.900,11108352,11141120,unavailable,14069760,3473408,3362816,unavailable,3362816,3362816,6385664
