"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","867.386","285.549","3.038","581.837","185823232","15810560","193802240","5009408"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","498.610","1198.090","0.416","-699.480","185823232","17514496","195571712","6238208"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","23.367","11.300","2.068","12.067","185823232","13832192","191983616","4767744"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","55.600","20.400","2.725","35.200","185823232","13561856","190750720","4354048"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","42.000","14.050","2.989","27.950","185823232","13832192","191193088","4870144"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","1493.351","657.195","2.272","836.156","185823232","17514496","194871296","6283264"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","43.087","162.938","0.264","-119.851","185823232","13836288","193175552","4878336"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","515.720","845.700","0.610","-329.980","185823232","17580032","196923392","6225920"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","22465.800","28906.200","0.777","-6440.400","185823232","13561856","190009344","3538944"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","22004.200","23024.200","0.956","-1020.000","185823232","13447168","190005248","3670016"
