engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2799059.600,2799059.600,4145152,173895680,174022656,185823232,679936,189091840,189091840,189091840,189091840,201879552
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,22479.600,22479.600,174043136,175104000,175104000,185823232,189091840,189960192,189960192,189960192,189960192,201879552
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,22092.500,22092.500,175104000,175226880,173797376,185823232,189960192,189960192,188424192,189960192,189960192,201879552
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,22175.700,22175.700,173797376,175108096,175108096,185823232,188424192,190005248,190005248,190005248,190005248,201879552
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,21970.000,21970.000,175108096,175218688,175218688,185823232,190005248,190005248,190005248,190005248,190005248,201879552
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,21971.000,21971.000,175218688,175214592,175214592,185823232,190005248,190005248,190005248,190005248,190005248,201879552
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,21985.200,21985.200,175218688,175239168,175239168,185823232,190005248,190005248,190005248,190005248,190005248,201879552
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,21997.400,21997.400,175239168,175300608,175300608,185823232,190005248,190005248,190005248,190005248,190005248,201879552
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,22004.200,22004.200,175300608,175300608,175300608,185823232,190005248,190005248,190005248,190005248,190005248,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,22124.200,22124.200,175300608,175308800,unavailable,185823232,190005248,190005248,unavailable,190005248,190005248,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,22119.700,22119.700,175308800,175292416,unavailable,185823232,190005248,190005248,unavailable,190005248,190005248,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,22385.900,22385.900,175292416,175304704,unavailable,185823232,190005248,190005248,unavailable,190005248,190005248,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,22583.400,22583.400,175304704,175308800,unavailable,185823232,190005248,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,22581.600,22581.600,175308800,175308800,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,22719.700,22719.700,175308800,175325184,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,23003.400,23003.400,175325184,175325184,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,22867.700,22867.700,175325184,175341568,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,22573.200,22573.200,175341568,175362048,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,22722.000,22722.000,175362048,175411200,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,22725.600,22725.600,175411200,175423488,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,23091.000,23091.000,175423488,175460352,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,22689.100,22689.100,175460352,175468544,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,22581.900,22581.900,175468544,175464448,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,22465.800,22465.800,175464448,175480832,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,22534.500,22534.500,175480832,175476736,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,22733.900,22733.900,175476736,175480832,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,22734.400,22734.400,175480832,175509504,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,23134.800,23134.800,175509504,175505408,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,19,1,22508.300,22508.300,175505408,175517696,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,20,1,22794.200,22794.200,175517696,175505408,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,21,1,23139.300,23139.300,175505408,175538176,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,22,1,22879.600,22879.600,175538176,175538176,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,23,1,22475.000,22475.000,175538176,175538176,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,24,1,23030.200,23030.200,175538176,175538176,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,25,1,23101.700,23101.700,175538176,175534080,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,26,1,22776.600,22776.600,175534080,175534080,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,27,1,22493.400,22493.400,175534080,175525888,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,28,1,22474.100,22474.100,175525888,175534080,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,29,1,22396.500,22396.500,175534080,175538176,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,30,1,22331.200,22331.200,175538176,175534080,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,31,1,22525.000,22525.000,175534080,175538176,unavailable,185823232,190009344,190009344,unavailable,190009344,190009344,201879552
