engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,0,1,152624.500,152624.500,8871936,77918208,59887616,510578688,5324800,35291136,28332032,35291136,35291136,541843456
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,1,1,35298.700,35298.700,59871232,78303232,60801024,510578688,28512256,34664448,29605888,34664448,34664448,541843456
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,2,1,34927.900,34927.900,59895808,78356480,60022784,510578688,28291072,34451456,28418048,34451456,34451456,541843456
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,3,1,34984.100,34984.100,60022784,78286848,59981824,510578688,28418048,34369536,28377088,34369536,34369536,541843456
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,4,1,35321.400,35321.400,59981824,78413824,60014592,510578688,28377088,34480128,28409856,34480128,34480128,541843456
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,5,1,35471.300,35471.300,60014592,78323712,60821504,510578688,28413952,34418688,29360128,34418688,34418688,541843456
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,6,1,36534.600,36534.600,60821504,78401536,60080128,510578688,29360128,34480128,28475392,34480128,34480128,541843456
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,7,1,34836.700,34836.700,60121088,78356480,60854272,510578688,28549120,34435072,29376512,34435072,34435072,541843456
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,8,1,34850.100,34850.100,60858368,78405632,60903424,510578688,29376512,34484224,29425664,34484224,34484224,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,0,1,35598.600,35598.600,60051456,60874752,unavailable,510578688,28516352,29425664,unavailable,29425664,29425664,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,1,1,35375.300,35375.300,60878848,60112896,unavailable,510578688,29425664,28520448,unavailable,28520448,28520448,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,2,1,35932.600,35932.600,60116992,60084224,unavailable,510578688,28520448,28487680,unavailable,28487680,28487680,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,3,1,35506.500,35506.500,60088320,60116992,unavailable,510578688,28487680,28524544,unavailable,28524544,28524544,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,4,1,36161.300,36161.300,60121088,60104704,unavailable,510578688,28524544,28504064,unavailable,28504064,28504064,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,5,1,36062.700,36062.700,60104704,60145664,unavailable,510578688,28504064,28536832,unavailable,28536832,28536832,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,6,1,36773.800,36773.800,60280832,60190720,unavailable,510578688,28684288,28577792,unavailable,28577792,28577792,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,7,1,36037.100,36037.100,60190720,60211200,unavailable,510578688,28577792,28643328,unavailable,28643328,28643328,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,8,1,35651.300,35651.300,60215296,60252160,unavailable,510578688,28696576,28672000,unavailable,28672000,28672000,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,9,1,36265.700,36265.700,60256256,60309504,unavailable,510578688,28672000,28712960,unavailable,28712960,28712960,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,10,1,35998.100,35998.100,60309504,61075456,unavailable,510578688,28712960,29634560,unavailable,29634560,29634560,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,11,1,35974.900,35974.900,61075456,60305408,unavailable,510578688,29634560,28721152,unavailable,28721152,28721152,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,12,1,36451.900,36451.900,60305408,60231680,unavailable,510578688,28721152,28647424,unavailable,28647424,28647424,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,13,1,36673.500,36673.500,60231680,60289024,unavailable,510578688,28647424,28712960,unavailable,28712960,28712960,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,14,1,36311.200,36311.200,60289024,60256256,unavailable,510578688,28712960,28651520,unavailable,28651520,28651520,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,15,1,36029.500,36029.500,60256256,60305408,unavailable,510578688,28651520,28712960,unavailable,28712960,28712960,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,16,1,35917.600,35917.600,60305408,60260352,unavailable,510578688,28712960,28651520,unavailable,28651520,28651520,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,17,1,36482.100,36482.100,60260352,60334080,unavailable,510578688,28651520,28729344,unavailable,28729344,28729344,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,18,1,36580.300,36580.300,60334080,60289024,unavailable,510578688,28749824,28708864,unavailable,28708864,28708864,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,19,1,36091.500,36091.500,60289024,60329984,unavailable,510578688,28708864,28737536,unavailable,28737536,28737536,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,20,1,35650.800,35650.800,60329984,60313600,unavailable,510578688,28737536,28708864,unavailable,28708864,28708864,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,21,1,36072.700,36072.700,60313600,60403712,unavailable,510578688,28708864,28807168,unavailable,28807168,28807168,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,22,1,35837.000,35837.000,60403712,60366848,unavailable,510578688,28807168,28766208,unavailable,28766208,28766208,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,23,1,36323.600,36323.600,60559360,60456960,unavailable,510578688,29036544,28962816,unavailable,28962816,28962816,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,24,1,37097.100,37097.100,60469248,60432384,unavailable,510578688,28966912,28905472,unavailable,28905472,28905472,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,25,1,35796.300,35796.300,60432384,60493824,unavailable,510578688,28905472,28966912,unavailable,28966912,28966912,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,26,1,35795.400,35795.400,60493824,60473344,unavailable,510578688,28966912,28946432,unavailable,28946432,28946432,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,27,1,36211.600,36211.600,60473344,60436480,unavailable,510578688,28946432,28946432,unavailable,28946432,28946432,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,28,1,35745.400,35745.400,60436480,60469248,unavailable,510578688,28946432,28954624,unavailable,28954624,28954624,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,29,1,35669.500,35669.500,60469248,60497920,unavailable,510578688,28954624,28971008,unavailable,28971008,28971008,541843456
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,30,1,35645.300,35645.300,60497920,61276160,unavailable,510578688,28971008,29900800,unavailable,29900800,29900800,541843456
