"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","287.965","291.265","307.000","307.000","15724544","15732736","5332992","6725632"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1173.790","1194.220","1252.550","1252.550","16060416","17149952","6000640","7585792"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","11.833","12.300","14.000","14.000","12017664","13754368","4788224","6438912"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","20.900","25.400","55.300","55.300","11808768","13570048","4370432","6369280"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","14.500","14.950","20.400","20.400","11833344","13725696","4378624","6438912"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","656.422","692.154","717.617","717.617","16756736","17149952","5836800","7110656"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","163.162","175.225","177.900","177.900","13062144","13819904","4784128","6508544"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","817.460","855.090","876.510","876.510","16011264","17149952","6234112","7700480"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","21372.000","45460.000","86326.900","86326.900","10510336","13570048","3444736","6369280"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","21914.800","44635.900","44635.900","44635.900","10977280","13418496","3862528","6160384"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","578.897","612.805","631.646","631.646","179630080","186085376","193585152","202047488"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","470.520","478.910","513.450","513.450","181944320","186085376","195964928","202047488"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","24.133","26.133","27.933","27.933","177774592","186085376","191918080","202047488"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","56.600","63.800","73.100","73.100","176979968","186085376","191127552","202047488"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","42.800","45.300","48.250","48.250","176996352","186085376","191127552","202047488"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","1030.778","1059.219","1126.319","1126.319","181116928","186085376","195170304","202047488"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","44.625","46.275","46.462","46.462","178442240","186085376","192589824","202047488"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","481.770","494.300","553.750","553.750","182427648","186085376","196505600","202047488"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","22804.200","23255.200","23561.400","23561.400","176177152","186085376","190332928","202047488"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","22664.900","2825112.100","2825112.100","2825112.100","175656960","186085376","190328832","202047488"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","80","4880","324.395","329.187","332.607","332.607","80039936","512094208","35897344","543285248"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","60","60","35808.100","36650.700","37108.600","37108.600","60297216","512094208","28643328","543285248"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","35010.400","151672.900","151672.900","151672.900","78024704","512094208","34115584","543285248"
