engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,44635.900,44635.900,7032832,10575872,9908224,11628544,1609728,3383296,2875392,3383296,3383296,5632000
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,25223.500,25223.500,9908224,10956800,10104832,13328384,2875392,3870720,2920448,3870720,3870720,6021120
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,20780.200,20780.200,10104832,10977280,9900032,13414400,2920448,3895296,2568192,3895296,3895296,6160384
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,20317.100,20317.100,9900032,11018240,10121216,13418496,2568192,3891200,3207168,3891200,3891200,6160384
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,22553.500,22553.500,10121216,11001856,10125312,13418496,3207168,3956736,3227648,3956736,3956736,6160384
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,20682.700,20682.700,10125312,10977280,10129408,13418496,3227648,3862528,2813952,3862528,3862528,6160384
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,21233.400,21233.400,10129408,10969088,10133504,13418496,2813952,3813376,3244032,3813376,3813376,6160384
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,21914.800,21914.800,10133504,10993664,10055680,13418496,3244032,3788800,2727936,3788800,3788800,6160384
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,23048.100,23048.100,10055680,10989568,10141696,13418496,2727936,3850240,3248128,3850240,3850240,6160384
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,22212.800,22212.800,10145792,10149888,unavailable,13418496,3252224,3039232,unavailable,3039232,3039232,6193152
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,21862.100,21862.100,10149888,10194944,unavailable,13438976,3039232,3612672,unavailable,3612672,3612672,6193152
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,20769.900,20769.900,10194944,10215424,unavailable,13443072,3612672,3510272,unavailable,3510272,3510272,6193152
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,20169.200,20169.200,10215424,10346496,unavailable,13443072,3510272,3502080,unavailable,3502080,3502080,6193152
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,23724.400,23724.400,10346496,10350592,unavailable,13443072,3502080,3391488,unavailable,3391488,3391488,6193152
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,20343.400,20343.400,10350592,10346496,unavailable,13451264,3391488,3330048,unavailable,3330048,3330048,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,20801.000,20801.000,10346496,10280960,unavailable,13451264,3330048,2957312,unavailable,2957312,2957312,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,21068.200,21068.200,10280960,10285056,unavailable,13451264,2957312,2961408,unavailable,2961408,2961408,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,20683.100,20683.100,10293248,10366976,unavailable,13451264,2973696,3391488,unavailable,3391488,3391488,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,23027.600,23027.600,10371072,10354688,unavailable,13463552,3391488,3309568,unavailable,3309568,3309568,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,20776.900,20776.900,10354688,10297344,unavailable,13463552,3309568,2977792,unavailable,2977792,2977792,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,20900.100,20900.100,10297344,10297344,unavailable,13463552,2977792,2969600,unavailable,2969600,2969600,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,20557.900,20557.900,10297344,10293248,unavailable,13463552,2969600,2977792,unavailable,2977792,2977792,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,20354.900,20354.900,10293248,10354688,unavailable,13463552,2977792,3428352,unavailable,3428352,3428352,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,21483.100,21483.100,10354688,10293248,unavailable,13463552,3428352,2977792,unavailable,2977792,2977792,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,21638.700,21638.700,10293248,10424320,unavailable,13463552,2977792,3502080,unavailable,3502080,3502080,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,20362.600,20362.600,10424320,10436608,unavailable,13463552,3502080,3514368,unavailable,3514368,3514368,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,20715.800,20715.800,10436608,10366976,unavailable,13471744,3514368,3248128,unavailable,3248128,3248128,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,20367.200,20367.200,10366976,10362880,unavailable,13471744,3248128,3047424,unavailable,3047424,3047424,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,19,1,19949.300,19949.300,10362880,10436608,unavailable,13471744,3047424,3342336,unavailable,3342336,3342336,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,20,1,22638.500,22638.500,10436608,10481664,unavailable,13471744,3342336,3297280,unavailable,3297280,3297280,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,21,1,21419.500,21419.500,10481664,10440704,unavailable,13471744,3297280,3543040,unavailable,3543040,3543040,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,22,1,20728.300,20728.300,10440704,10432512,unavailable,13471744,3543040,3117056,unavailable,3117056,3117056,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,23,1,23783.100,23783.100,10432512,10366976,unavailable,13471744,3117056,3047424,unavailable,3047424,3047424,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,24,1,22804.500,22804.500,10387456,10432512,unavailable,13471744,3547136,3325952,unavailable,3325952,3325952,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,25,1,21684.100,21684.100,10432512,10371072,unavailable,13471744,3325952,3063808,unavailable,3063808,3063808,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,26,1,20367.200,20367.200,10371072,10452992,unavailable,13471744,3063808,3497984,unavailable,3497984,3497984,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,27,1,21074.400,21074.400,10452992,10489856,unavailable,13471744,3497984,3551232,unavailable,3551232,3551232,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,28,1,20511.200,20511.200,10489856,10485760,unavailable,13471744,3551232,3440640,unavailable,3440640,3440640,6262784
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,29,1,20972.400,20972.400,10485760,10641408,unavailable,13471744,3440640,3784704,unavailable,3784704,3784704,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,30,1,23135.100,23135.100,10641408,10510336,unavailable,13500416,3784704,3514368,unavailable,3514368,3514368,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,31,1,21756.100,21756.100,10510336,10518528,unavailable,13500416,3514368,3637248,unavailable,3637248,3637248,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,32,1,23389.200,23389.200,10518528,10522624,unavailable,13500416,3637248,3223552,unavailable,3223552,3223552,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,33,1,23715.100,23715.100,10526720,10534912,unavailable,13500416,3223552,3231744,unavailable,3231744,3231744,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,34,1,25091.500,25091.500,10534912,10518528,unavailable,13512704,3231744,3416064,unavailable,3416064,3416064,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,35,1,21591.200,21591.200,10518528,10510336,unavailable,13512704,3416064,3588096,unavailable,3588096,3588096,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,36,1,21318.600,21318.600,10510336,10522624,unavailable,13512704,3588096,3522560,unavailable,3522560,3522560,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,37,1,20138.000,20138.000,10522624,10612736,unavailable,13512704,3522560,3575808,unavailable,3575808,3575808,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,38,1,21372.500,21372.500,10612736,10522624,unavailable,13512704,3575808,3211264,unavailable,3211264,3211264,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,39,1,20597.200,20597.200,10522624,10588160,unavailable,13524992,3211264,3670016,unavailable,3670016,3670016,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,40,1,20739.600,20739.600,10588160,10596352,unavailable,13524992,3670016,3686400,unavailable,3686400,3686400,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,41,1,20899.200,20899.200,10596352,10588160,unavailable,13545472,3686400,3645440,unavailable,3645440,3645440,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,42,1,21846.400,21846.400,10592256,10588160,unavailable,13545472,3645440,3555328,unavailable,3555328,3555328,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,43,1,20757.400,20757.400,10588160,10633216,unavailable,13545472,3555328,3624960,unavailable,3624960,3624960,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,44,1,21556.100,21556.100,10633216,10600448,unavailable,13545472,3624960,3710976,unavailable,3710976,3710976,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,45,1,22891.600,22891.600,10600448,10526720,unavailable,13545472,3710976,3215360,unavailable,3215360,3215360,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,46,1,20676.900,20676.900,10526720,10616832,unavailable,13545472,3215360,3375104,unavailable,3375104,3375104,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,47,1,20183.500,20183.500,10616832,10698752,unavailable,13545472,3375104,3493888,unavailable,3493888,3493888,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,48,1,20769.600,20769.600,10698752,10661888,unavailable,13553664,3493888,3424256,unavailable,3424256,3424256,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,49,1,24649.800,24649.800,10661888,10768384,unavailable,13553664,3424256,3727360,unavailable,3727360,3727360,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,50,1,44803.000,44803.000,10768384,10678272,unavailable,13557760,3727360,3444736,unavailable,3444736,3444736,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,51,1,21542.100,21542.100,10678272,10735616,unavailable,13557760,3444736,3690496,unavailable,3690496,3690496,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,52,1,45400.800,45400.800,10735616,10653696,unavailable,13570048,3690496,3350528,unavailable,3350528,3350528,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,53,1,21372.000,21372.000,10653696,10731520,unavailable,13570048,3350528,3911680,unavailable,3911680,3911680,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,54,1,86326.900,86326.900,10731520,10805248,unavailable,13570048,3911680,3796992,unavailable,3796992,3796992,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,55,1,20289.700,20289.700,10805248,10805248,unavailable,13570048,3796992,3874816,unavailable,3874816,3874816,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,56,1,82484.000,82484.000,10838016,10743808,unavailable,13570048,3960832,3600384,unavailable,3600384,3600384,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,57,1,27314.900,27314.900,10743808,10805248,unavailable,13570048,3600384,3768320,unavailable,3768320,3768320,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,58,1,45460.000,45460.000,10805248,10674176,unavailable,13570048,3768320,3457024,unavailable,3457024,3457024,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,59,1,20682.900,20682.900,10674176,10747904,unavailable,13570048,3457024,3878912,unavailable,3878912,3878912,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,0,1,51.800,51.800,11784192,11788288,unavailable,13570048,4370432,4370432,unavailable,4370432,4370432,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,1,1,55.300,55.300,11788288,11788288,unavailable,13570048,4370432,4370432,unavailable,4370432,4370432,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,2,1,26.200,26.200,11788288,11788288,unavailable,13570048,4370432,4370432,unavailable,4370432,4370432,6369280
