"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","601.532","288.965","2.082","312.567","186044416","15949824","194080768","5079040"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","462.830","1194.940","0.387","-732.110","186044416","17711104","196927488","6336512"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","24.633","11.467","2.148","13.166","186044416","13869056","192335872","4698112"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","59.300","20.600","2.879","38.700","186044416","13643776","190914560","4702208"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","43.750","14.150","3.092","29.600","186044416","13869056","191541248","4673536"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","1065.525","660.608","1.613","404.917","186044416","17559552","195227648","6295552"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","44.538","166.650","0.267","-122.112","186044416","13893632","193753088","4890624"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","453.720","838.170","0.541","-384.450","186044416","17711104","197861376","6443008"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","22507.900","23234.700","0.969","-726.800","186044416","13643776","190124032","3407872"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","22649.800","26030.500","0.870","-3380.700","186044416","13500416","190115840","3895296"
