engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2769100.300,2769100.300,4161536,173879296,173989888,186118144,692224,189255680,189255680,189255680,189255680,202383360
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,22422.000,22422.000,174014464,175042560,175042560,186118144,189255680,190054400,190054400,190054400,190054400,202383360
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,22163.300,22163.300,175042560,175169536,175173632,186118144,190054400,190054400,190054400,190054400,190054400,202383360
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,22226.000,22226.000,175173632,173826048,unavailable,186118144,190054400,188575744,unavailable,188575744,188575744,202383360
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,22217.600,22217.600,173826048,175251456,unavailable,186118144,188575744,190160896,unavailable,190160896,190160896,202383360
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,22304.100,22304.100,175251456,175427584,unavailable,186118144,190160896,190160896,unavailable,190160896,190160896,202383360
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,22152.600,22152.600,175427584,175443968,unavailable,186118144,190160896,190160896,unavailable,190160896,190160896,202383360
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,22330.200,22330.200,175443968,175439872,unavailable,186118144,190160896,190164992,unavailable,190164992,190164992,202383360
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,22183.500,22183.500,175439872,175435776,unavailable,186118144,190164992,190164992,unavailable,190164992,190164992,202383360
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,22122.300,22122.300,175435776,175443968,unavailable,186118144,190164992,190164992,unavailable,190164992,190164992,202383360
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,22292.000,22292.000,175443968,175435776,unavailable,186118144,190164992,190164992,unavailable,190164992,190164992,202383360
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,22245.100,22245.100,175435776,175435776,unavailable,186118144,190164992,190169088,unavailable,190169088,190169088,202383360
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,22218.400,22218.400,175435776,175431680,unavailable,186118144,190169088,190169088,unavailable,190169088,190169088,202383360
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,22110.000,22110.000,175431680,175448064,unavailable,186118144,190169088,190169088,unavailable,190169088,190169088,202383360
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,22194.200,22194.200,175452160,175529984,unavailable,186118144,190169088,190169088,unavailable,190169088,190169088,202383360
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,22197.400,22197.400,175529984,175554560,unavailable,186118144,190169088,190169088,unavailable,190169088,190169088,202383360
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,22245.600,22245.600,175554560,175566848,unavailable,186118144,190169088,190169088,unavailable,190169088,190169088,202383360
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,22246.800,22246.800,175566848,175640576,unavailable,186118144,190169088,190169088,unavailable,190169088,190169088,202383360
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,22186.700,22186.700,175640576,175648768,unavailable,186118144,190169088,190169088,unavailable,190169088,190169088,202383360
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,22126.200,22126.200,175648768,175656960,unavailable,186118144,190169088,190169088,unavailable,190169088,190169088,202383360
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,22141.600,22141.600,175656960,175656960,unavailable,186118144,190169088,190169088,unavailable,190169088,190169088,202383360
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,22244.700,22244.700,175656960,175677440,unavailable,186118144,190169088,190169088,unavailable,190169088,190169088,202383360
