engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,63683.400,63683.400,7020544,10551296,9891840,11620352,1605632,3305472,2514944,3305472,3305472,5627904
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,32910.700,32910.700,9891840,10166272,unavailable,13303808,2514944,2801664,unavailable,2801664,2801664,6008832
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,0,1,22.800,22.800,11247616,11251712,unavailable,13303808,3833856,3833856,unavailable,3833856,3833856,6008832
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,0,2,29.400,14.700,11374592,11374592,unavailable,13594624,3981312,3981312,unavailable,3981312,3981312,6156288
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,0,3,35.100,11.700,11403264,11403264,unavailable,13594624,3923968,3923968,unavailable,3923968,3923968,6156288
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,0,8,1527.100,190.887,12177408,12161024,unavailable,13668352,3842048,3825664,unavailable,3825664,3825664,6295552
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,0,37,11968.200,323.465,14417920,14409728,unavailable,14614528,3936256,3936256,unavailable,3936256,3936256,6295552
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,0,59,40565.900,687.558,15482880,15454208,unavailable,15740928,4562944,4481024,unavailable,4481024,4481024,6295552
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,0,10,12387.300,1238.730,14880768,14872576,unavailable,15740928,4624384,4624384,unavailable,4624384,4624384,6295552
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zybfshmsru,0,10,8887.500,888.750,14839808,14946304,unavailable,15740928,4857856,4997120,unavailable,4997120,4997120,6434816
