engine,track,schema_id,workload,input,samples,operations,median_us,p95_us,p99_us,max_us,median_working_set_bytes,max_peak_working_set_bytes,median_private_bytes,max_peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,1,37,3.654,3.654,3.654,3.654,175489024,185454592,189591552,201285632
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,1,10,99.150,99.150,99.150,99.150,175239168,185454592,189317120,201285632
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,1,3,9.333,9.333,9.333,9.333,175357952,185454592,189591552,201285632
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,1,1,61.400,61.400,61.400,61.400,175251456,185454592,189587456,201285632
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,1,2,15.250,15.250,15.250,15.250,175349760,185454592,189587456,201285632
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,1,59,2.968,2.968,2.968,2.968,175104000,185454592,189317120,201285632
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,1,8,6.663,6.663,6.663,6.663,175390720,185454592,189591552,201285632
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zybfshmsru,1,10,103.120,103.120,103.120,103.120,175276032,185454592,189317120,201285632
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,22822.600,22822.600,22822.600,22822.600,175001600,185454592,189587456,201285632
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,2806185.700,2806185.700,2806185.700,2806185.700,173764608,185454592,188796928,201285632
