"engine","track","schema_id","workload","input","sample_index","event_index","name","micros","working_set_before","working_set_after","peak_working_set_after"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","0","runtime_setup","182","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","runtime_setup","51","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","2","runtime_initialize","51","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","3","schema_config_load","1553","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","4","schema_switch_options","3","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","5","processor_install","17629","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","6","schema_config_load","1552","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","7","compiled_table_load","38","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","8","compiled_prism_load","22","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","9","compiled_reverse_load","87","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","10","compiled_poet_load","4372","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","11","compiled_prism_parse","17","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","12","compiled_reverse_load","3","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","13","compiled_table_dictionary_parse","12673","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","14","compiled_table_compact_parse","269","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","15","translator_index_build","8","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","16","spelling_algebra_expand","292","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","17","translator_install","151853","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","18","schema_config_load","1668","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","19","filter_install","1773","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","20","userdb_open_or_sync","44","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","21","session_create","196822","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","22","schema_select","143","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","23","session_destroy","515","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","24","runtime_finalize","1","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","0","runtime_setup","97","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","runtime_setup","34","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","2","runtime_initialize","34","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","3","schema_config_load","1485","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","4","schema_switch_options","2","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","5","processor_install","14938","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","6","schema_config_load","1257","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","7","translator_install","3479","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","8","schema_config_load","1329","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","9","filter_install","1418","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","10","userdb_open_or_sync","32","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","11","session_create","25189","unavailable","unavailable","unavailable"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","12","schema_select","116","unavailable","unavailable","unavailable"
