engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2899346.100,2899346.100,4141056,173219840,173355008,185806848,684032,188649472,188657664,188657664,188657664,201957376
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,24771.300,24771.300,173375488,174538752,174538752,185806848,188657664,189485056,189485056,189485056,189485056,201957376
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,22869.800,22869.800,174538752,174530560,174530560,185806848,189485056,189485056,189485056,189485056,189485056,201957376
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,24050.100,24050.100,174530560,174530560,174530560,185806848,189485056,189485056,189485056,189485056,189485056,201957376
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,23667.000,23667.000,174530560,174546944,174546944,185806848,189485056,189485056,189485056,189485056,189485056,201957376
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,23766.000,23766.000,174546944,174551040,174551040,185806848,189485056,189485056,189485056,189485056,189485056,201957376
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,23006.400,23006.400,174551040,174559232,174559232,185806848,189485056,189485056,189485056,189485056,189485056,201957376
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,22912.100,22912.100,174559232,174551040,174551040,185806848,189485056,189485056,189485056,189485056,189485056,201957376
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,22924.700,22924.700,174551040,174538752,174538752,185806848,189485056,189485056,189485056,189485056,189485056,201957376
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,23009.200,23009.200,174538752,174575616,unavailable,185806848,189485056,189485056,unavailable,189485056,189485056,201957376
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,23051.700,23051.700,174575616,174665728,unavailable,185806848,189485056,189489152,unavailable,189489152,189489152,201957376
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,26375.000,26375.000,174665728,174694400,unavailable,185806848,189489152,189489152,unavailable,189489152,189489152,201957376
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,26406.000,26406.000,174694400,174694400,unavailable,185806848,189489152,189489152,unavailable,189489152,189489152,201957376
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,24295.600,24295.600,174694400,174698496,unavailable,185806848,189489152,189489152,unavailable,189489152,189489152,201957376
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,23045.700,23045.700,174698496,174682112,unavailable,185806848,189489152,189489152,unavailable,189489152,189489152,201957376
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,22941.900,22941.900,174682112,174706688,unavailable,185806848,189489152,189489152,unavailable,189489152,189489152,201957376
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,23246.100,23246.100,174706688,174702592,unavailable,185806848,189489152,189489152,unavailable,189489152,189489152,201957376
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,23011.800,23011.800,174702592,174768128,unavailable,185806848,189489152,189489152,unavailable,189489152,189489152,201957376
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,23038.900,23038.900,174768128,174792704,unavailable,185806848,189489152,189489152,unavailable,189489152,189489152,201957376
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,23374.700,23374.700,174792704,174788608,unavailable,185806848,189489152,189489152,unavailable,189489152,189489152,201957376
