engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,0,1,154847.400,154847.400,8630272,77090816,59686912,511193088,4866048,33558528,28913664,33558528,33558528,542511104
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,1,1,34773.600,34773.600,59707392,78082048,59752448,511193088,28913664,35471360,28045312,35471360,35471360,542511104
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,2,1,34958.400,34958.400,59768832,78188544,59801600,511193088,28065792,34213888,28119040,34213888,34213888,542511104
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,3,1,34816.100,34816.100,59822080,78172160,60669952,511193088,28155904,34164736,29106176,34164736,34164736,542511104
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,4,1,35085.500,35085.500,60674048,78417920,59830272,511193088,29106176,34488320,28131328,34488320,34488320,542511104
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,5,1,35013.500,35013.500,59834368,78172160,60669952,511193088,28139520,35131392,30072832,35131392,35131392,542511104
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,6,1,34882.900,34882.900,60674048,78184448,59801600,511193088,30072832,34201600,28094464,34201600,34201600,542511104
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,7,1,35467.000,35467.000,59838464,78200832,60698624,511193088,28155904,34263040,29204480,34263040,34263040,542511104
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,8,1,36659.000,36659.000,60702720,78225408,59822080,511193088,29204480,34258944,28135424,34258944,34258944,542511104
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,0,1,35720.600,35720.600,59830272,60657664,unavailable,511193088,28196864,29171712,unavailable,29171712,29171712,542511104
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,1,1,35770.800,35770.800,60661760,59891712,unavailable,511193088,29171712,28196864,unavailable,28196864,28196864,542511104
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,2,1,35825.700,35825.700,59895808,60698624,unavailable,511193088,28196864,29204480,unavailable,29204480,29204480,542511104
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,3,1,35629.200,35629.200,60702720,59924480,unavailable,511193088,29204480,28221440,unavailable,28221440,28221440,542511104
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,4,1,35542.900,35542.900,59928576,60751872,unavailable,511193088,28221440,29237248,unavailable,29237248,29237248,542511104
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,5,1,35572.500,35572.500,60751872,59932672,unavailable,511193088,29237248,28225536,unavailable,28225536,28225536,542511104
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,6,1,35778.000,35778.000,60006400,60837888,unavailable,511193088,28360704,29339648,unavailable,29339648,29339648,542511104
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,7,1,36152.100,36152.100,60841984,60010496,unavailable,511193088,29339648,28348416,unavailable,28348416,28348416,542511104
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,8,1,35882.400,35882.400,60014592,59977728,unavailable,511193088,28348416,28315648,unavailable,28315648,28315648,542511104
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,9,1,35814.100,35814.100,59981824,60051456,unavailable,511193088,28315648,28422144,unavailable,28422144,28422144,542511104
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,10,1,35637.500,35637.500,60055552,60047360,unavailable,511193088,28422144,28405760,unavailable,28405760,28405760,542511104
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,11,1,35494.900,35494.900,60051456,60080128,unavailable,511193088,28405760,28418048,unavailable,28418048,28418048,542511104
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,12,1,35273.300,35273.300,60084224,60866560,unavailable,511193088,28418048,29372416,unavailable,29372416,29372416,542511104
