"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","603.124","284.643","2.119","318.481","185622528","15745024","193921024","4902912"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","472.160","1178.890","0.401","-706.730","185622528","16924672","195870720","6008832"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","24.133","11.200","2.155","12.933","185622528","13811712","191709184","4521984"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","57.900","20.300","2.852","37.600","185622528","13586432","190124032","4268032"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","43.450","13.950","3.115","29.500","185622528","13811712","190918656","4464640"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","1068.395","649.469","1.645","418.926","185622528","16924672","194609152","5881856"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","44.087","162.550","0.271","-118.463","185622528","13811712","192335872","4616192"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","483.800","810.640","0.597","-326.840","185622528","16924672","196661248","6086656"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","22441.600","21874.400","1.026","567.200","185622528","13586432","190124032","3321856"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","22557.200","22132.200","1.019","425.000","185622528","13430784","188358656","3813376"
