engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,0,1,155154.200,155154.200,8765440,77082624,59084800,510922752,4526080,34410496,27475968,34410496,34410496,542072832
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,1,1,35142.200,35142.200,59105280,77516800,60014592,510922752,28332032,34373632,29315072,34373632,34373632,542072832
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,2,1,34869.500,34869.500,60014592,77602816,59277312,510922752,29315072,34394112,27578368,34394112,34394112,542072832
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,3,1,36511.200,36511.200,59297792,77537280,60035072,510922752,27664384,33550336,28491776,33550336,33550336,542072832
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,4,1,35240.400,35240.400,60039168,77611008,60108800,510922752,28491776,33574912,28516352,33574912,33574912,542072832
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,5,1,34992.800,34992.800,59244544,77533184,60030976,510922752,27545600,33517568,28459008,33517568,33517568,542072832
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,6,1,34917.700,34917.700,60035072,77615104,59342848,510922752,28459008,33574912,27627520,33574912,33574912,542072832
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,7,1,34636.000,34636.000,59351040,77586432,59248640,510922752,27668480,33574912,27648000,33574912,33574912,542072832
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,8,1,35000.000,35000.000,59252736,77611008,60108800,510922752,27648000,33574912,28516352,33574912,33574912,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,0,1,35274.500,35274.500,59289600,59256832,unavailable,510922752,27635712,27553792,unavailable,27553792,27553792,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,1,1,35677.000,35677.000,59260928,59293696,unavailable,510922752,27553792,27586560,unavailable,27586560,27586560,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,2,1,35486.400,35486.400,59297792,59265024,unavailable,510922752,27586560,27557888,unavailable,27557888,27557888,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,3,1,35503.000,35503.000,59269120,59346944,unavailable,510922752,27557888,27635712,unavailable,27635712,27635712,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,4,1,35435.700,35435.700,59351040,59269120,unavailable,510922752,27635712,27553792,unavailable,27553792,27553792,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,5,1,35516.400,35516.400,59269120,59371520,unavailable,510922752,27553792,27656192,unavailable,27656192,27656192,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,6,1,35386.300,35386.300,59445248,60166144,unavailable,510922752,27795456,28684288,unavailable,28684288,28684288,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,7,1,36034.500,36034.500,60170240,59408384,unavailable,510922752,28684288,27779072,unavailable,27779072,27779072,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,8,1,36225.600,36225.600,59416576,59375616,unavailable,510922752,27815936,27717632,unavailable,27717632,27717632,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,9,1,36057.500,36057.500,59383808,59428864,unavailable,510922752,27717632,27852800,unavailable,27852800,27852800,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,10,1,37082.800,37082.800,59432960,60260352,unavailable,510922752,27852800,28684288,unavailable,28684288,28684288,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,11,1,35202.700,35202.700,60264448,59531264,unavailable,510922752,28684288,27865088,unavailable,27865088,27865088,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,12,1,36108.600,36108.600,59535360,59518976,unavailable,510922752,27893760,27873280,unavailable,27873280,27873280,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,13,1,36023.000,36023.000,59518976,60256256,unavailable,510922752,27873280,28684288,unavailable,28684288,28684288,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,14,1,36056.400,36056.400,60260352,59510784,unavailable,510922752,28684288,27840512,unavailable,27840512,27840512,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,15,1,35832.800,35832.800,59514880,59559936,unavailable,510922752,27840512,27885568,unavailable,27885568,27885568,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,16,1,35525.500,35525.500,59564032,60211200,unavailable,510922752,27885568,28680192,unavailable,28680192,28680192,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,17,1,35603.600,35603.600,60215296,59629568,unavailable,510922752,28680192,27967488,unavailable,27967488,27967488,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,18,1,35615.900,35615.900,59633664,60268544,unavailable,510922752,27967488,28684288,unavailable,28684288,28684288,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,19,1,36010.600,36010.600,60272640,59596800,unavailable,510922752,28684288,27897856,unavailable,27897856,27897856,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,20,1,35766.000,35766.000,59600896,59510784,unavailable,510922752,27897856,27807744,unavailable,27807744,27807744,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,21,1,36262.500,36262.500,59514880,59674624,unavailable,510922752,27807744,27975680,unavailable,27975680,27975680,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,22,1,37045.600,37045.600,59678720,60289024,unavailable,510922752,27987968,28684288,unavailable,28684288,28684288,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,23,1,36098.500,36098.500,60481536,59686912,unavailable,510922752,28950528,28053504,unavailable,28053504,28053504,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,24,1,35805.400,35805.400,59699200,59699200,unavailable,510922752,28078080,28090368,unavailable,28090368,28090368,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,25,1,36077.800,36077.800,59699200,60620800,unavailable,510922752,28090368,29159424,unavailable,29159424,29159424,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,26,1,35571.800,35571.800,59703296,59715584,unavailable,510922752,28086272,28098560,unavailable,28098560,28098560,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,27,1,36075.100,36075.100,59719680,59789312,unavailable,510922752,28098560,28164096,unavailable,28164096,28164096,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,28,1,35355.400,35355.400,59789312,60477440,unavailable,510922752,28180480,28950528,unavailable,28950528,28950528,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,29,1,35174.200,35174.200,60477440,59850752,unavailable,510922752,28950528,28229632,unavailable,28229632,28229632,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,30,1,35870.700,35870.700,59850752,59789312,unavailable,510922752,28229632,28172288,unavailable,28172288,28172288,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,31,1,35675.900,35675.900,59789312,60653568,unavailable,510922752,28172288,29159424,unavailable,29159424,29159424,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,32,1,35283.400,35283.400,60653568,60669952,unavailable,510922752,29159424,29159424,unavailable,29159424,29159424,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,33,1,36742.100,36742.100,60669952,59961344,unavailable,510922752,29159424,28377088,unavailable,28377088,28377088,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,34,1,36701.500,36701.500,59961344,60731392,unavailable,510922752,28385280,29286400,unavailable,29286400,29286400,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,35,1,35788.100,35788.100,60731392,60850176,unavailable,510922752,29286400,29413376,unavailable,29413376,29413376,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,36,1,36128.000,36128.000,60854272,60854272,unavailable,510922752,29413376,29413376,unavailable,29413376,29413376,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,37,1,35425.300,35425.300,60854272,59969536,unavailable,510922752,29413376,28352512,unavailable,28352512,28352512,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,38,1,35451.900,35451.900,60035072,60841984,unavailable,510922752,28352512,29413376,unavailable,29413376,29413376,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,39,1,35482.100,35482.100,60841984,60936192,unavailable,510922752,29413376,29413376,unavailable,29413376,29413376,542072832
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,40,1,36495.100,36495.100,60936192,60948480,unavailable,510922752,29413376,29413376,unavailable,29413376,29413376,542072832
