engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2738221.500,2738221.500,4145152,173129728,173256704,185520128,679936,188297216,188297216,188297216,188297216,201568256
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,22133.600,22133.600,173285376,174252032,174252032,185520128,188297216,189095936,189095936,189095936,189095936,201568256
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,21917.100,21917.100,174252032,174415872,174419968,185520128,189095936,189095936,189095936,189095936,189095936,201568256
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,21735.700,21735.700,174419968,174485504,174485504,185520128,189095936,189095936,189095936,189095936,189095936,201568256
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,21756.900,21756.900,174485504,174489600,174489600,185520128,189095936,189095936,189095936,189095936,189095936,201568256
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,21856.000,21856.000,174489600,174551040,174551040,185520128,189095936,189095936,189095936,189095936,189095936,201568256
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,21795.000,21795.000,174551040,174579712,174579712,185520128,189095936,189095936,189095936,189095936,189095936,201568256
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,21757.200,21757.200,174579712,174612480,174612480,185520128,189095936,189095936,189095936,189095936,189095936,201568256
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,21724.600,21724.600,174612480,174604288,174608384,185520128,189095936,189095936,189095936,189095936,189095936,201568256
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,21880.200,21880.200,174608384,174612480,unavailable,185520128,189095936,189095936,unavailable,189095936,189095936,201568256
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,22038.700,22038.700,174612480,174608384,unavailable,185520128,189095936,189095936,unavailable,189095936,189095936,201568256
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,21974.200,21974.200,174608384,174649344,unavailable,185520128,189095936,189095936,unavailable,189095936,189095936,201568256
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,22411.800,22411.800,174649344,174641152,unavailable,185520128,189095936,189100032,unavailable,189100032,189100032,201568256
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,21918.600,21918.600,174641152,174669824,unavailable,185520128,189100032,189100032,unavailable,189100032,189100032,201568256
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,21929.400,21929.400,174673920,174657536,unavailable,185520128,189100032,189100032,unavailable,189100032,189100032,201568256
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,21958.700,21958.700,174657536,174669824,unavailable,185520128,189100032,189100032,unavailable,189100032,189100032,201568256
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,21843.400,21843.400,174669824,174669824,unavailable,185520128,189100032,189100032,unavailable,189100032,189100032,201568256
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,21924.000,21924.000,174669824,174665728,unavailable,185520128,189100032,189100032,unavailable,189100032,189100032,201568256
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,21984.000,21984.000,174665728,174665728,unavailable,185520128,189100032,189100032,unavailable,189100032,189100032,201568256
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,21932.400,21932.400,174665728,174669824,unavailable,185520128,189100032,189100032,unavailable,189100032,189100032,201568256
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,21913.000,21913.000,174669824,174669824,unavailable,185520128,189100032,189100032,unavailable,189100032,189100032,201568256
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,21853.700,21853.700,174669824,174657536,unavailable,185520128,189100032,189100032,unavailable,189100032,189100032,201568256
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,21813.500,21813.500,174657536,174669824,unavailable,185520128,189100032,189100032,unavailable,189100032,189100032,201568256
