"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","287.392","297.346","314.992","314.992","15347712","16019456","5001216","6791168"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1200.380","1232.120","1275.440","1275.440","16162816","17592320","6111232","7528448"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","11.633","12.900","31.933","31.933","12009472","13828096","4743168","6549504"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","20.700","22.100","68.300","68.300","11771904","13598720","4476928","6549504"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","14.200","14.700","17.700","17.700","11964416","13828096","4653056","6549504"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","662.508","676.849","694.329","694.329","16982016","17592320","6148096","7041024"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","164.675","174.537","181.587","181.587","13008896","13828096","4829184","6791168"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","841.280","883.700","960.370","960.370","16044032","17592320","6070272","7667712"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","23257.000","29901.600","33569.300","33569.300","10674176","13598720","3497984","6549504"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","24471.800","47135.800","47135.800","47135.800","10977280","13455360","3862528","6225920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","66.238","71.757","76.811","76.811","103247872","113172480","60096512","74760192"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","100.820","103.110","103.880","103.880","105226240","113172480","62238720","74760192"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","9.133","9.433","10.100","10.100","101048320","113172480","58175488","74760192"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","34.500","35.600","40.000","40.000","99713024","113172480","56471552","74760192"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","14.750","15.500","17.100","17.100","100171776","113172480","56995840","74760192"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","55.768","56.790","72.259","72.259","104345600","113172480","61456384","74760192"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","6.150","6.588","6.738","6.738","101879808","113172480","58781696","74760192"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","101.270","103.840","105.550","105.550","105738240","113172480","62324736","74760192"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","22929.500","23553.200","24062.400","24062.400","95588352","113172480","52944896","74760192"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","23240.200","197504.000","197504.000","197504.000","96403456","113172480","53604352","74760192"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","80","4880","318.874","323.331","332.393","332.393","80015360","511098880","35614720","542429184"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","60","60","34583.000","35809.200","36465.300","36465.300","61145088","511098880","29577216","542429184"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","34256.300","179783.500","179783.500","179783.500","78295040","511098880","34242560","542429184"
