"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes","before_private_bytes","after_ready_private_bytes","after_finalize_private_bytes","private_bytes","pagefile_bytes","peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","38852.900","38852.900","7020544","10555392","9908224","11624448","1585152","3305472","2588672","3305472","3305472","5619712"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","22854.200","22854.200","9908224","10891264","10002432","13344768","2588672","3657728","2613248","3657728","3657728","6029312"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","2","1","19941.000","19941.000","10002432","10932224","10031104","13361152","2613248","3723264","2650112","3723264","3723264","6098944"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","1","20824.900","20824.900","10031104","10915840","10039296","13361152","2650112","3706880","3551232","3706880","3706880","6098944"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","4","1","19498.700","19498.700","10039296","10973184","10178560","13361152","3551232","3821568","3158016","3821568","3821568","6098944"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","1","24315.500","24315.500","10178560","10956800","10153984","13426688","3158016","3809280","2830336","3809280","3809280","6168576"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","6","1","20650.600","20650.600","10153984","10973184","10194944","13426688","2830336","3809280","2912256","3809280","3809280","6168576"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","7","1","18929.400","18929.400","10194944","10964992","10178560","13426688","2912256","3780608","3145728","3780608","3780608","6168576"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","8","1","22518.100","22518.100","10178560","10977280","10194944","13443072","3145728","3784704","3493888","3784704","3784704","6168576"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","0","1","19531.800","19531.800","10199040","10317824","unavailable","13443072","3514368","2994176","unavailable","2994176","2994176","6168576"
