"track","schema_id","workload","input","yune_median_us","librime_median_us","yune_librime_median_ratio","absolute_gap_us","yune_max_peak_working_set_bytes","librime_max_peak_working_set_bytes","yune_median_private_bytes","librime_median_private_bytes"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","66.114","280.800","0.235","-214.686","113037312","15765504","59850752","5259264"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","103.630","1173.430","0.088","-1069.800","113037312","17350656","61267968","5967872"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","9.100","11.300","0.805","-2.200","113037312","13856768","58306560","4980736"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","34.500","20.300","1.700","14.200","113037312","13635584","56463360","4538368"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","14.650","13.950","1.050","0.700","113037312","13856768","57024512","4456448"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","55.317","640.036","0.086","-584.719","113037312","17162240","60641280","5898240"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","6.125","161.200","0.038","-155.075","113037312","13893632","59060224","4673536"
"track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","105.270","822.080","0.128","-716.810","113037312","17350656","63401984","6107136"
"track-a-comparison","luna_pinyin","session_create_select_destroy","","22577.500","20951.300","1.078","1626.200","113037312","13590528","54140928","3440640"
"track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","22760.200","20824.900","1.093","1935.300","113037312","13443072","53698560","3780608"
