engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,37484.200,37484.200,7024640,10543104,9875456,11620352,1605632,3448832,2600960,3448832,3448832,5636096
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,21184.800,21184.800,9875456,10854400,9961472,13299712,2600960,3706880,2596864,3706880,3706880,6012928
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,21153.600,21153.600,9961472,10870784,9998336,13299712,2596864,3670016,2904064,3670016,3670016,6012928
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,20356.300,20356.300,9998336,10936320,10113024,13336576,2904064,3866624,2830336,3866624,3866624,6033408
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,20293.200,20293.200,10113024,10952704,10092544,13434880,2830336,3850240,3174400,3850240,3850240,6221824
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,22916.300,22916.300,10096640,10989568,10125312,13434880,3788800,3858432,2826240,3858432,3858432,6221824
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,20643.800,20643.800,10125312,10960896,10162176,13434880,2826240,3923968,2863104,3923968,3923968,6221824
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,20558.600,20558.600,10162176,10985472,10158080,13434880,2863104,3825664,2846720,3825664,3825664,6221824
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,24432.000,24432.000,10158080,10964992,10174464,13434880,2846720,3788800,2867200,3788800,3788800,6221824
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,20555.300,20555.300,10178560,10194944,unavailable,13434880,3350528,3145728,unavailable,3145728,3145728,6234112
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,26252.600,26252.600,10194944,10240000,unavailable,13434880,3145728,2932736,unavailable,2932736,2932736,6234112
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,19881.400,19881.400,10240000,10297344,unavailable,13463552,2932736,2981888,unavailable,2981888,2981888,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,28131.200,28131.200,10297344,10313728,unavailable,13463552,2981888,3002368,unavailable,3002368,3002368,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,22544.700,22544.700,10313728,10412032,unavailable,13492224,3002368,3375104,unavailable,3375104,3375104,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,22413.000,22413.000,10412032,10407936,unavailable,13492224,3375104,3153920,unavailable,3153920,3153920,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,23106.500,23106.500,10407936,10399744,unavailable,13492224,3153920,3461120,unavailable,3461120,3461120,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,21160.200,21160.200,10399744,10399744,unavailable,13492224,3461120,3297280,unavailable,3297280,3297280,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,19474.400,19474.400,10403840,10436608,unavailable,13500416,3362816,3252224,unavailable,3252224,3252224,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,19594.300,19594.300,10436608,10420224,unavailable,13504512,3252224,3325952,unavailable,3325952,3325952,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,19593.500,19593.500,10420224,10428416,unavailable,13504512,3325952,3244032,unavailable,3244032,3244032,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,19887.800,19887.800,10428416,10416128,unavailable,13504512,3244032,3309568,unavailable,3309568,3309568,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,20166.200,20166.200,10416128,10403840,unavailable,13504512,3309568,3506176,unavailable,3506176,3506176,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,19078.500,19078.500,10403840,10440704,unavailable,13504512,3506176,3391488,unavailable,3391488,3391488,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,19441.200,19441.200,10440704,10428416,unavailable,13504512,3391488,3457024,unavailable,3457024,3457024,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,19392.700,19392.700,10428416,10424320,unavailable,13504512,3457024,3117056,unavailable,3117056,3117056,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,19619.400,19619.400,10424320,10559488,unavailable,13504512,3117056,3252224,unavailable,3252224,3252224,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,19473.400,19473.400,10559488,10489856,unavailable,13504512,3252224,3178496,unavailable,3178496,3178496,6303744
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,19954.000,19954.000,10489856,10493952,unavailable,13504512,3178496,3182592,unavailable,3182592,3182592,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,19,1,22964.100,22964.100,10493952,10514432,unavailable,13512704,3182592,3203072,unavailable,3203072,3203072,6369280
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,20,1,21519.200,21519.200,10514432,10502144,unavailable,13512704,3203072,3186688,unavailable,3186688,3186688,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,21,1,19796.000,19796.000,10502144,10657792,unavailable,13516800,3186688,3354624,unavailable,3354624,3354624,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,22,1,21058.900,21058.900,10657792,10616832,unavailable,13516800,3354624,3694592,unavailable,3694592,3694592,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,23,1,21865.400,21865.400,10616832,10698752,unavailable,13516800,3694592,3543040,unavailable,3543040,3543040,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,24,1,20284.500,20284.500,10719232,10629120,unavailable,13516800,3571712,3465216,unavailable,3465216,3465216,6373376
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,25,1,20023.700,20023.700,10629120,10711040,unavailable,13524992,3465216,3739648,unavailable,3739648,3739648,6443008
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,26,1,19450.100,19450.100,10711040,10743808,unavailable,13524992,3739648,3710976,unavailable,3710976,3710976,6443008
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,27,1,19734.000,19734.000,10743808,10682368,unavailable,13524992,3710976,3592192,unavailable,3592192,3592192,6443008
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,28,1,23420.400,23420.400,10682368,10686464,unavailable,13524992,3592192,3608576,unavailable,3608576,3608576,6443008
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,29,1,20038.800,20038.800,10686464,10764288,unavailable,13541376,3608576,3682304,unavailable,3682304,3682304,6443008
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,30,1,19650.500,19650.500,10768384,10854400,unavailable,13541376,3682304,3690496,unavailable,3690496,3690496,6443008
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,31,1,19984.100,19984.100,10854400,10833920,unavailable,13545472,3690496,3772416,unavailable,3772416,3772416,6443008
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,32,1,19955.700,19955.700,10833920,10768384,unavailable,13545472,3772416,3538944,unavailable,3538944,3538944,6443008
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,33,1,24292.100,24292.100,10768384,10711040,unavailable,13545472,3538944,3428352,unavailable,3428352,3428352,6443008
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,34,1,20758.700,20758.700,10711040,10866688,unavailable,13561856,3428352,3825664,unavailable,3825664,3825664,6443008
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,35,1,21221.500,21221.500,10866688,10854400,unavailable,13570048,3825664,3825664,unavailable,3825664,3825664,6443008
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,36,1,21173.400,21173.400,10854400,10801152,unavailable,13570048,3825664,3784704,unavailable,3784704,3784704,6512640
