"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","293.995","305.649","311.443","311.443","15286272","15945728","4894720","6557696"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1189.760","1206.880","1247.930","1247.930","16179200","17440768","6082560","7643136"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","11.967","12.333","21.033","21.033","12066816","13729792","4722688","6447104"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","21.100","26.500","55.800","55.800","11763712","13602816","4304896","6447104"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","14.650","15.750","17.500","17.500","11763712","13676544","4743168","6447104"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","671.746","684.576","689.234","689.234","17047552","17440768","6217728","6942720"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","166.512","180.962","197.925","197.925","13037568","13811712","4788224","6447104"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","831.160","853.030","866.890","866.890","15966208","17440768","6197248","7643136"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","20400.600","24622.800","28027.900","28027.900","10551296","13602816","3375104","6447104"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","20736.500","37298.800","37298.800","37298.800","10952704","13438976","3833856","6180864"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","66.659","68.349","70.446","70.446","102785024","112939008","59441152","74612736"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","102.150","105.710","107.250","107.250","104771584","112939008","61476864","74612736"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","9.133","9.567","10.300","10.300","100855808","112939008","57856000","74612736"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","34.800","36.900","40.600","40.600","99274752","112939008","56258560","74612736"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","14.700","15.400","15.950","15.950","99872768","112939008","56741888","74612736"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","55.759","56.997","68.586","68.586","103522304","112939008","60227584","74612736"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","6.100","6.638","8.562","8.562","101621760","112939008","58650624","74612736"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","103.610","109.980","125.280","125.280","106323968","112939008","63057920","74612736"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","22887.400","23631.700","24720.900","24720.900","95326208","112939008","52461568","74612736"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","23911.000","183959.300","183959.300","183959.300","96346112","112939008","53358592","74612736"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","80","4880","321.111","328.493","330.903","330.903","80011264","511148032","35618816","542965760"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","60","60","35530.600","36067.200","36357.200","36357.200","61005824","511148032","29487104","542965760"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","34637.600","181223.500","181223.500","181223.500","78254080","511148032","34357248","542965760"
