engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,170906.600,170906.600,4141056,97005568,94810112,113270784,692224,54927360,52240384,54927360,54927360,74805248
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,7222.000,7222.000,94834688,97619968,95813632,113270784,52240384,54669312,53784576,54669312,54669312,74805248
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,6849.200,6849.200,95813632,97939456,94924800,113270784,53784576,54849536,51712000,54849536,54849536,74805248
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,6799.000,6799.000,94937088,97665024,96002048,113270784,51781632,54439936,53587968,54439936,54439936,74805248
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,6613.700,6613.700,96006144,97607680,96051200,113270784,53608448,54439936,53989376,54439936,54439936,74805248
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,6955.400,6955.400,95006720,97611776,96067584,113270784,51732480,54439936,53854208,54439936,54439936,74805248
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,6650.500,6650.500,96067584,97624064,95137792,113270784,53866496,54439936,51941376,54439936,54439936,74805248
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,6904.000,6904.000,95141888,97583104,95195136,113270784,52060160,54439936,51957760,54439936,54439936,74805248
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,6831.900,6831.900,95195136,97599488,95252480,113270784,51990528,54444032,52056064,54444032,54444032,74805248
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,7441.200,7441.200,95268864,96317440,unavailable,113270784,52150272,54304768,unavailable,54304768,54304768,74805248
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,7443.600,7443.600,95260672,95215616,unavailable,113270784,51994624,52178944,unavailable,52178944,52178944,74805248
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,8270.000,8270.000,95232000,95313920,unavailable,113270784,52269056,52092928,unavailable,52092928,52092928,74805248
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,7186.900,7186.900,95330304,95227904,unavailable,113270784,52150272,52031488,unavailable,52031488,52031488,74805248
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,7190.100,7190.100,95236096,95395840,unavailable,113270784,52047872,52240384,unavailable,52240384,52240384,74805248
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,6989.900,6989.900,95412224,95367168,unavailable,113270784,52260864,52285440,unavailable,52285440,52285440,74805248
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,7381.100,7381.100,95371264,95404032,unavailable,113270784,52379648,52203520,unavailable,52203520,52203520,74805248
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,6914.800,6914.800,95420416,95449088,unavailable,113270784,52326400,52363264,unavailable,52363264,52363264,74805248
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,7119.300,7119.300,95461376,95477760,unavailable,113270784,52375552,52248576,unavailable,52248576,52248576,74805248
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,6910.100,6910.100,95481856,95481856,unavailable,113270784,52248576,52293632,unavailable,52293632,52293632,74805248
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,7754.200,7754.200,95485952,96661504,unavailable,113270784,52293632,54333440,unavailable,54333440,54333440,74805248
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,8124.400,8124.400,96661504,96493568,unavailable,113270784,54333440,54587392,unavailable,54587392,54587392,74805248
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,7868.900,7868.900,95436800,95596544,unavailable,113270784,52142080,52305920,unavailable,52305920,52305920,74805248
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,8675.600,8675.600,95596544,96493568,unavailable,113270784,52314112,54681600,unavailable,54681600,54681600,74805248
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,7062.300,7062.300,96497664,95604736,unavailable,113270784,54681600,52469760,unavailable,52469760,52469760,74805248
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,6974.400,6974.400,95608832,95584256,unavailable,113270784,52473856,52408320,unavailable,52408320,52408320,74805248
